circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
9251149824.0,5.71884,521859008.0,572,1,0,20251023,000070,1,0
9286689792.0,8.57312,782817024.0,591,1,0,20251121,000070,1,1
10219799552.0,18.0473,1797730048.0,583,1,1,20251124,000070,1,1
11241799680.0,7.77756,859742976.0,570,1,0,20251125,000070,1,1
12370400256.0,25.8391,3122149888.0,571,1,2,20251126,000070,1,0
12779200512.0,19.1212,2315379968.0,655,0,0,20251205,000070,1,0
13196900352.0,24.4619,3071030016.0,848,0,0,20251210,000070,1,0
11499499520.0,10.6582,1213600000.0,572,1,1,20251222,000070,1,0
12014900224.0,5.67103,680425984.0,570,1,0,20260204,000070,1,0
14325499904.0,4.37616,619875968.0,570,1,0,20260210,000070,1,1
15756300288.0,1.15058,181288000.0,565,1,0,20260211,000070,1,1
17329199104.0,19.5918,3335790080.0,565,1,1,20260212,000070,1,1
17329237614.0,19.591812133789062,3335788048.0,565,1,1,20260213,000070,1,0
17471426230.32,5.516498565673828,948367184.0,572,1,1,20260302,000070,1,0
7380299776.0,3.55034,257192992.0,595,1,0,20251126,000078,1,1
8115700224.0,15.6573,1245490048.0,570,1,9,20251127,000078,1,1
8929899520.0,15.6359,1332550016.0,589,1,1,20251128,000078,1,1
9822889984.0,20.3422,1898649984.0,797,0,5,20251201,000078,1,1
10794699776.0,8.77739,927974976.0,572,1,1,20251202,000078,1,1
11871500288.0,6.95018,803241024.0,571,1,1,20251203,000078,1,0
13893900288.0,22.7495,3099610112.0,574,1,7,20251205,000078,1,0
10715899904.0,10.6229,1087840000.0,630,0,1,20260113,000078,1,1
11792700416.0,26.9274,3014640128.0,886,0,0,20260114,000078,1,0
11031100416.0,10.8162,1120450048.0,787,0,0,20260126,000078,1,0
7679370240.0,7.94271,604396032.0,570,1,2,20251023,000090,1,0
9118080000.0,14.3105,1269840000.0,592,1,29,20251117,000090,1,0
6160826880.0,8.593433380126953,512104336.0,786,0,0,20260302,000096,1,1
6778952960.0,19.21258354187012,1267520928.0,781,0,3,20260303,000096,1,0
22523299840.0,4.2567,921462976.0,792,0,0,20251029,000155,1,0
16709799936.0,5.1884,851539008.0,573,1,1,20260210,000156,1,0
39015501824.0,9.67632,3625390080.0,863,0,1,20251016,000158,1,0
3061890048.0,6.34374,189548992.0,576,1,0,20260108,000159,1,0
3590629888.0,15.0601,520436992.0,787,0,0,20260123,000159,1,0
