circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
29230163014.14,14.001919746398926,4040111152,574,1,9,20260115,601208,1,0
47843558601.3,7.043152332305908,3316634608,588,1,5,20260114,601216,1,0
69679546997.1,3.119926691055298,2084996000,848,0,7,20260115,601231,1,0
5085181169.25,7.511935234069824,372654480,580,1,0,20260115,601366,1,0
19501930337.76,8.586209297180176,1665007392,565,1,2,20260114,601992,1,0
30992520299.68,9.921249389648438,2987301184,575,1,1,20260114,603000,1,1
34088455256.48,21.771108627319336,7330434560,571,1,18,20260115,603000,1,0
3315217397.5800004,5.61367654800415,182047634,575,1,0,20260115,603023,1,0
15663808775.28,0.2362134903669357,37000030,565,1,0,20260114,603056,1,1
17226131671.260002,0.1494733244180679,25748472,565,1,0,20260115,603056,1,0
2964235575.0,5.452004909515381,159208715,578,1,1,20260115,603161,1,0
7948000000.0,6.011417865753174,468685376,583,1,1,20260114,603163,1,0
46912648480.28,1.782890796661377,832447360,571,1,0,20260114,603179,1,0
1168799930.61,32.51005172729492,363562288,872,0,0,20260114,603280,1,0
3114172718.64,11.239886283874512,344415904,601,0,14,20260115,603320,1,0
5204565720.0,6.979095458984375,343820880,831,0,0,20260114,603353,1,0
23051140066.56,4.464298248291016,997976560,833,0,0,20260115,603360,1,0
3012906770.56,24.69650077819824,723637072,683,0,0,20260115,603402,1,0
4013292378.54,6.784502029418945,268168445,582,1,1,20260114,603458,1,0
36843824344.48,6.41743278503418,2247755728,787,0,0,20260115,603650,1,0
6281363886.88,7.139254570007324,428749136,895,0,0,20260114,603687,1,0
17819999976.239998,10.927038192749023,1897288688,628,0,13,20260114,603778,1,0
4934190551.91,10.575973510742188,503134480,790,0,0,20260114,603829,1,0
27671882001.480003,17.615280151367188,4790238976,654,0,6,20260114,603881,1,0
19972249772.8,11.68819522857666,2256984512,581,1,5,20260114,603888,1,0
8094433851.420001,25.78200912475586,2055820784,579,1,7,20260114,603918,1,0
29610100800.0,2.1093859672546387,611966256,596,1,5,20260114,603929,1,0
9844928307.81,8.270145416259766,776032112,838,0,0,20260115,603938,1,0
6517392000.0,7.702597141265869,481157552,866,0,4,20260114,603988,1,0
14725385720.0,2.457758665084839,358888112,572,1,12,20260114,605118,1,0
5310079710.0,6.944033145904541,360103568,583,1,0,20260114,605136,1,0
