序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000422,湖北宜化,9.99243,14.53,876179968.0,15369900032,15816200192,5.96771,64754400.0,145657,145657,0,1/1,1,化肥行业,20250929,000422,湖北宜化,1,9.99243,15369900032,5.96771,876179968.0,145657,0
2,000426,兴业银锡,9.99296,31.26,2337939968.0,55492898816,55506399232,4.34968,43726500.0,132042,141636,2,1/1,1,有色金属,20250929,000426,兴业银锡,1,9.99296,55492898816,4.34968,2337939968.0,132042,2
3,000559,万向钱潮,10.0,12.98,4033900032.0,43022798848,43033399296,9.87971,176714000.0,095812,095900,1,7/11,2,汽车零部,20250929,000559,万向钱潮,2,10.0,43022798848,9.87971,4033900032.0,095812,1
4,000603,盛达资源,9.98714,25.66,925020992.0,17107900416,17704599552,5.57854,104407000.0,130103,130103,0,1/1,1,有色金属,20250929,000603,盛达资源,1,9.98714,17107900416,5.57854,925020992.0,130103,0
5,000629,钒钛股份,10.0,3.08,724145984.0,28614000640,28628500480,2.61543,59211100.0,101354,101354,0,1/1,1,钢铁行业,20250929,000629,钒钛股份,1,10.0,28614000640,2.61543,724145984.0,101354,0
6,000885,城发环境,10.0069,15.94,236123008.0,10234699776,10234699776,2.37644,44010800.0,102545,102545,0,1/1,1,环保行业,20250929,000885,城发环境,1,10.0069,10234699776,2.37644,236123008.0,102545,0
7,000973,佛塑科技,9.9723,7.94,530756000.0,7681339904,7681339904,7.09042,109614000.0,095836,095836,0,1/1,1,塑料制品,20250929,000973,佛塑科技,1,9.9723,7681339904,7.09042,530756000.0,095836,0
8,000981,山子高科,10.0,3.85,3353720064.0,36626399232,38490300416,9.23993,456808000.0,093121,093448,1,7/12,1,汽车零部,20250929,000981,山子高科,1,10.0,36626399232,9.23993,3353720064.0,093121,1
9,000985,大庆华科,10.0,19.91,116859000.0,2581120000,2581120000,4.61858,80999800.0,094551,094551,0,1/1,1,化学制品,20250929,000985,大庆华科,1,10.0,2581120000,4.61858,116859000.0,094551,0
10,002048,宁波华翔,10.0136,40.43,2139990016.0,28697300992,32903299072,7.6307,53626900.0,145100,145615,1,1/1,1,汽车零部,20250929,002048,宁波华翔,1,10.0136,28697300992,7.6307,2139990016.0,145100,1
11,002067,景兴纸业,10.0179,6.15,1365010048.0,7633500160,8477590016,18.4733,41023800.0,103303,105315,2,1/1,1,造纸印刷,20250929,002067,景兴纸业,1,10.0179,7633500160,18.4733,1365010048.0,103303,2
12,002125,湘潭电化,10.0,15.07,612339008.0,9486289920,9486289920,6.57135,187851008.0,094142,094142,0,1/1,1,化学原料,20250929,002125,湘潭电化,1,10.0,9486289920,6.57135,612339008.0,094142,0
13,002140,东华科技,10.0245,13.5,257320000.0,7336459776,9558190080,3.56401,118898000.0,093018,093018,0,2/2,2,工程建设,20250929,002140,东华科技,2,10.0245,7336459776,3.56401,257320000.0,093018,0
14,002150,通润装备,9.99419,18.93,624992000.0,6786740224,6876029952,9.48108,81972600.0,095206,095206,0,2/4,1,光伏设备,20250929,002150,通润装备,1,9.99419,6786740224,9.48108,624992000.0,095206,0
15,002407,多氟多,9.97732,19.4,1063539968.0,20962699264,23094398976,5.11349,243384992.0,093033,093033,0,1/1,1,化学制品,20250929,002407,多氟多,1,9.97732,20962699264,5.11349,1063539968.0,093033,0
16,002513,蓝丰生化,10.0116,9.45,634344000.0,2506099968,3360079872,25.6322,192916000.0,093033,094106,7,6/6,6,农药兽药,20250929,002513,蓝丰生化,6,10.0116,2506099968,25.6322,634344000.0,093033,7
17,002534,西子洁能,9.98043,16.86,451707008.0,13905099776,14093899776,3.34246,110761000.0,101542,101542,0,1/1,1,电源设备,20250929,002534,西子洁能,1,9.98043,13905099776,3.34246,451707008.0,101542,0
18,002600,领益智造,9.9932,16.18,9340590080.0,111636996096,113392001024,8.54163,335487008.0,102248,110036,3,1/1,1,消费电子,20250929,002600,领益智造,1,9.9932,111636996096,8.54163,9340590080.0,102248,3
