序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000078,海王生物,9.97567,4.52,803241024.0,11871500288,11892700160,6.95018,171258000.0,093142,093333,1,6/6,6,医药商业,20251203,000078,海王生物,6,9.97567,11871500288,6.95018,803241024.0,093142,1
2,000536,华映科技,10.0179,6.15,3087600128.0,16993000448,17011099648,18.929,197804000.0,130418,134618,3,1/1,1,光学光电,20251203,000536,华映科技,1,10.0179,16993000448,18.929,3087600128.0,130418,3
3,000571,新大洲A,10.0,6.49,672120000.0,5282809856,5445949952,13.0877,17230100.0,103642,134336,10,1/1,1,煤炭行业,20251203,000571,新大洲A,1,10.0,5282809856,13.0877,672120000.0,103642,10
4,000692,惠天热电,10.1064,4.14,96891904.0,2205929984,2205929984,4.40152,192768000.0,093000,093000,0,1/1,1,公用事业,20251203,000692,惠天热电,1,10.1064,2205929984,4.40152,96891904.0,093000,0
5,000838,财信发展,9.88701,3.89,82329904.0,4099150080,4280800000,2.00846,80524896.0,092500,092500,0,1/1,1,房地产开,20251203,000838,财信发展,1,9.88701,4099150080,2.00846,82329904.0,092500,0
6,000993,闽东电力,10.0237,13.94,432145984.0,6130079744,6383840256,7.26375,89538000.0,093815,093815,0,1/1,1,电力行业,20251203,000993,闽东电力,1,10.0237,6130079744,7.26375,432145984.0,093815,0
7,001211,双枪科技,9.99249,29.28,177098000.0,1961660032,2108160000,9.15562,127858000.0,110103,110103,0,1/1,1,家用轻工,20251203,001211,双枪科技,1,9.99249,1961660032,9.15562,177098000.0,110103,0
8,001336,楚环科技,9.99222,28.29,131732000.0,1317840000,2273769984,10.1143,28274000.0,130842,130842,0,1/1,1,专用设备,20251203,001336,楚环科技,1,9.99222,1317840000,10.1143,131732000.0,130842,0
9,002084,海鸥住工,10.0,5.17,900948992.0,3332760064,3340110080,27.867,48685600.0,093015,103842,2,1/1,1,装修装饰,20251203,002084,海鸥住工,1,10.0,3332760064,27.867,900948992.0,093015,2
10,002300,太阳电缆,10.0257,8.56,335284992.0,6182629888,6183179776,5.46399,215664000.0,093006,093006,0,2/2,2,电网设备,20251203,002300,太阳电缆,2,10.0257,6182629888,5.46399,335284992.0,093006,0
11,002348,高乐股份,10.0189,5.82,28713400.0,5258560000,5512699904,0.546032,311416000.0,092500,092500,0,3/3,2,家用轻工,20251203,002348,高乐股份,2,10.0189,5258560000,0.546032,28713400.0,092500,0
12,002353,杰瑞股份,9.99666,65.91,951022016.0,45691699200,67482300416,2.09257,184702000.0,093009,093057,1,3/4,1,专用设备,20251203,002353,杰瑞股份,1,9.99666,45691699200,2.09257,951022016.0,093009,1
13,002487,大金重工,10.0,55.22,1853560064.0,34839400448,35216498688,5.45493,140970000.0,132106,132106,0,1/1,1,风电设备,20251203,002487,大金重工,1,10.0,34839400448,5.45493,1853560064.0,132106,0
