序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000681,视觉中国,9.99373,35.11,8318750208.0,23743600640.0,24597299200.0,36.2206,398807008.0,094200,145215,3,3/4,1,文化传媒,20260115,000681,视觉中国,1,9.99373,23743600640.0,36.2206,8318750208.0,094200,3
2,001212,中旗新材,10.0,53.24,621593024.0,9255709696.0,10699100160.0,6.99292,71614096.0,140503,140503,0,1/1,1,装修装饰,20260115,001212,中旗新材,1,10.0,9255709696.0,6.99292,621593024.0,140503,0
3,001255,博菲电气,9.99343,50.19,248994000.0,3566299904.0,4338930176.0,7.215,292036000.0,093224,093430,2,5/8,4,化学原料,20260115,001255,博菲电气,4,9.99343,3566299904.0,7.215,248994000.0,093224,2
4,001260,坤泰股份,10.0168,26.25,337011008.0,833438016.0,3018749952.0,40.6605,13972800.0,093433,100103,8,2/3,1,汽车零部,20260115,001260,坤泰股份,1,10.0168,833438016.0,40.6605,337011008.0,093433,8
5,001337,四川黄金,10.0032,34.64,736313984.0,9992120320.0,14548799488.0,7.65799,96555504.0,100842,100842,0,1/1,1,贵金属,20260115,001337,四川黄金,1,10.0032,9992120320.0,7.65799,736313984.0,100842,0
6,001376,百通能源,10.0062,17.7,321051008.0,3783419904.0,8157929984.0,8.8305,97091504.0,104615,104615,0,1/1,1,公用事业,20260115,001376,百通能源,1,10.0062,3783419904.0,8.8305,321051008.0,104615,0
7,002049,紫光国微,9.99873,86.69,1043470016.0,73640796160.0,73654001664.0,1.41698,1171260032.0,092500,092500,0,1/1,1,半导体,20260115,002049,紫光国微,1,9.99873,73640796160.0,1.41698,1043470016.0,092500,0
8,002112,三变科技,9.9844,21.15,2939840000.0,5542980096.0,6220879872.0,53.8638,130939000.0,093042,142648,7,4/7,3,电网设备,20260115,002112,三变科技,3,9.9844,5542980096.0,53.8638,2939840000.0,093042,7
9,002114,罗平锌电,9.9675,10.15,448756000.0,3282419968.0,3282459904.0,14.0876,16808400.0,102554,102957,3,1/1,1,有色金属,20260115,002114,罗平锌电,1,9.9675,3282419968.0,14.0876,448756000.0,102554,3
10,002119,康强电子,10.0277,19.86,985313984.0,7453139968.0,7453139968.0,13.7938,148819008.0,132451,132451,0,1/1,1,半导体,20260115,002119,康强电子,1,10.0277,7453139968.0,13.7938,985313984.0,132451,0
11,002130,沃尔核材,10.0111,29.78,4784099840.0,34083600384.0,37519798272.0,14.3512,352521984.0,101800,101800,0,1/1,1,非金属材,20260115,002130,沃尔核材,1,10.0111,34083600384.0,14.3512,4784099840.0,101800,0
12,002153,石基信息,10.0204,16.14,1146979968.0,25820200960.0,44049199104.0,4.4447,222236000.0,092500,103630,1,2/2,2,软件开发,20260115,002153,石基信息,2,10.0204,25820200960.0,4.4447,1146979968.0,092500,1
13,002218,拓日新能,10.0196,5.6,344355008.0,7797429760.0,7912909824.0,4.41691,263944992.0,093000,093000,0,2/2,2,光伏设备,20260115,002218,拓日新能,2,10.0196,7797429760.0,4.41691,344355008.0,093000,0
14,002264,新 华 都,10.0091,12.09,1895229952.0,7916319744.0,8702520320.0,25.2617,123186000.0,101918,101918,0,2/2,2,互联网服,20260115,002264,新 华 都,2,10.0091,7916319744.0,25.2617,1895229952.0,101918,0
15,002446,盛路通信,9.97002,14.67,3944760064.0,12436899840.0,13429099520.0,34.7395,118606000.0,100133,103130,0,3/4,2,通信设备,20260115,002446,盛路通信,2,9.97002,12436899840.0,34.7395,3944760064.0,100133,0
16,002545,东方铁塔,10.0048,22.87,519128992.0,25846800384.0,28451700736.0,2.05813,116503000.0,135203,135203,0,1/1,1,化肥行业,20260115,002545,东方铁塔,1,10.0048,25846800384.0,2.05813,519128992.0,135203,0
17,002546,新联电子,9.97191,7.83,770283008.0,6273650176.0,6530599936.0,12.488,38360000.0,094400,103957,1,1/1,1,电网设备,20260115,002546,新联电子,1,9.97191,6273650176.0,12.488,770283008.0,094400,1
18,002554,惠博普,10.1408,3.91,47197700.0,5213870080.0,5214850048.0,0.905233,196750000.0,092500,092500,0,2/2,1,采掘行业,20260115,002554,惠博普,1,10.1408,5213870080.0,0.905233,47197700.0,092500,0
19,002636,金安国纪,10.0,18.04,828094016.0,13066699776.0,13133100032.0,6.62642,115267000.0,142315,142315,0,1/1,1,电子元件,20260115,002636,金安国纪,1,10.0,13066699776.0,6.62642,828094016.0,142315,0
20,002707,众信旅游,10.0484,9.09,237110000.0,7501130240.0,8932880384.0,3.16099,199808992.0,092500,092500,0,2/2,2,旅游酒店,20260115,002707,众信旅游,2,10.0484,7501130240.0,3.16099,237110000.0,092500,0
21,002775,文科股份,10.0917,4.8,160602000.0,2262870016.0,3053989888.0,7.19463,129757000.0,102500,102500,0,1/1,1,工程建设,20260115,002775,文科股份,1,10.0917,2262870016.0,7.19463,160602000.0,102500,0
22,002787,华源控股,10.0386,14.25,221196992.0,3574759936.0,4776269824.0,6.38189,98520000.0,095900,095900,0,1/1,1,包装材料,20260115,002787,华源控股,1,10.0386,3574759936.0,6.38189,221196992.0,095900,0
23,002796,世嘉科技,9.99722,39.5,1249219968.0,8994469888.0,9968490496.0,14.2494,19227000.0,134306,144830,3,1/1,1,专用设备,20260115,002796,世嘉科技,1,9.99722,8994469888.0,14.2494,1249219968.0,134306,3
24,002836,新宏泽,10.0128,17.14,265123008.0,3949060096.0,3949060096.0,6.98769,116522000.0,140139,140139,0,1/1,1,造纸印刷,20260115,002836,新宏泽,1,10.0128,3949060096.0,6.98769,265123008.0,140139,0
25,002842,翔鹭钨业,10.0,19.14,1130540032.0,5138370048.0,6262080000.0,23.0199,54680500.0,130900,130900,0,1/1,1,小金属,20260115,002842,翔鹭钨业,1,10.0,5138370048.0,23.0199,1130540032.0,130900,0
26,002919,名臣健康,10.0086,25.72,540177984.0,6800059904.0,6855050240.0,8.23455,59281700.0,140245,144042,1,1/1,1,游戏,20260115,002919,名臣健康,1,10.0086,6800059904.0,8.23455,540177984.0,140245,1
27,300452,山河药辅,20.0142,16.85,669542976.0,3346870016.0,3950500096.0,20.8545,49424700.0,095118,095118,0,1/1,1,化学制药,20260115,300452,山河药辅,1,20.0142,3346870016.0,20.8545,669542976.0,095118,0
28,300758,七彩化学,20.0,20.22,920561984.0,7406609920.0,8210100224.0,12.4575,231852000.0,092500,093200,2,2/2,2,化学制品,20260115,300758,七彩化学,2,20.0,7406609920.0,12.4575,920561984.0,092500,2
29,301348,蓝箭电子,20.0159,30.28,1599559936.0,4697610240.0,7267200000.0,37.9634,130688000.0,135209,135209,0,1/1,1,半导体,20260115,301348,蓝箭电子,1,20.0159,4697610240.0,37.9634,1599559936.0,135209,0
30,301629,矽电股份,20.0,331.56,1244829952.0,3458739968.0,13835100160.0,39.4981,23705500.0,142727,143436,1,1/1,1,半导体,20260115,301629,矽电股份,1,20.0,3458739968.0,39.4981,1244829952.0,142727,1
31,600058,五矿发展,9.98264,12.67,219192992.0,13581100032.0,13581100032.0,1.61395,204862000.0,092503,092503,0,2/2,1,贸易行业,20260115,600058,五矿发展,1,9.98264,13581100032.0,1.61395,219192992.0,092503,0
32,600302,标准股份,10.0094,11.76,256958000.0,4069080064.0,4069080064.0,6.55747,42116100.0,131817,132223,2,1/1,1,专用设备,20260115,600302,标准股份,1,10.0094,4069080064.0,6.55747,256958000.0,131817,2
33,600389,江山股份,9.98692,25.22,747668992.0,10860999680.0,10860999680.0,7.074,2761890.0,133719,145313,8,1/1,1,农药兽药,20260115,600389,江山股份,1,9.98692,10860999680.0,7.074,747668992.0,133719,8
34,600410,华胜天成,10.0,24.42,874633024.0,26776399872.0,26776399872.0,3.26643,3395460096.0,092500,092500,0,3/5,2,互联网服,20260115,600410,华胜天成,2,10.0,26776399872.0,3.26643,874633024.0,092500,0
35,600520,三佳科技,9.99237,28.84,376766016.0,4569119744.0,4569119744.0,8.3481,57359900.0,093731,094234,3,1/1,1,专用设备,20260115,600520,三佳科技,1,9.99237,4569119744.0,8.3481,376766016.0,093731,3
36,600550,保变电气,10.0,13.86,2678840064.0,25523599360.0,25523599360.0,11.3743,115106000.0,142954,142954,0,1/1,1,电网设备,20260115,600550,保变电气,1,10.0,25523599360.0,11.3743,2678840064.0,142954,0
37,600593,大连圣亚,10.0,48.07,777131008.0,6191419904.0,6270490112.0,12.95,110777000.0,130316,130316,0,1/1,1,旅游酒店,20260115,600593,大连圣亚,1,10.0,6191419904.0,12.95,777131008.0,130316,0
38,600662,外服控股,10.08,6.88,992028992.0,15662100480.0,15710199808.0,6.38031,51642900.0,093034,112616,2,3/3,3,专业服务,20260115,600662,外服控股,3,10.08,15662100480.0,6.38031,992028992.0,093034,2
39,600708,光明地产,10.0865,3.82,152112000.0,8500559872.0,8513390080.0,1.84274,103817000.0,094147,094147,0,1/1,1,房地产开,20260115,600708,光明地产,1,10.0865,8500559872.0,1.84274,152112000.0,094147,0
40,600725,云维股份,9.97567,4.52,489412000.0,5570760192.0,5570760192.0,8.92253,2540960.0,093952,145437,3,1/1,1,煤炭行业,20260115,600725,云维股份,1,9.97567,5570760192.0,8.92253,489412000.0,093952,3
41,600785,新华百货,10.0322,17.11,486032992.0,3860549888.0,3860549888.0,12.6897,78109400.0,092501,093855,4,2/2,2,商业百货,20260115,600785,新华百货,2,10.0322,3860549888.0,12.6897,486032992.0,092501,4
42,601208,东材科技,10.0,28.71,4040110080.0,29230200832.0,29230200832.0,14.0019,10047600.0,093459,145520,9,1/1,1,塑料制品,20260115,601208,东材科技,1,10.0,29230200832.0,14.0019,4040110080.0,093459,9
43,601231,环旭电子,10.0036,30.57,2084999936.0,69679497216.0,69679497216.0,3.11993,20005700.0,140827,142203,7,1/1,1,消费电子,20260115,601231,环旭电子,1,10.0036,69679497216.0,3.11993,2084999936.0,140827,7
44,601366,利群股份,10.101,5.45,372654016.0,5085179904.0,5085179904.0,7.51194,106473000.0,094050,094050,0,1/1,1,商业百货,20260115,601366,利群股份,1,10.101,5085179904.0,7.51194,372654016.0,094050,0
45,603000,人民网,9.9893,30.83,7330429952.0,34088499200.0,34088499200.0,21.7711,38879900.0,093124,145054,18,4/4,4,文化传媒,20260115,603000,人民网,4,9.9893,34088499200.0,21.7711,7330429952.0,093124,18
46,603023,威帝股份,10.0,5.94,182048000.0,3315219968.0,3315219968.0,5.61368,139388000.0,093507,093507,0,1/1,1,汽车零部,20260115,603023,威帝股份,1,10.0,3315219968.0,5.61368,182048000.0,093507,0
47,603056,德邦股份,9.97409,16.98,25748500.0,17226100736.0,17226100736.0,0.149473,1710680064.0,092503,092503,0,2/2,2,物流行业,20260115,603056,德邦股份,2,9.97409,17226100736.0,0.149473,25748500.0,092503,0
48,603161,科华控股,9.97877,15.54,159208992.0,2964239872.0,3021100032.0,5.452,49249500.0,093815,093948,1,1/1,1,汽车零部,20260115,603161,科华控股,1,9.97877,2964239872.0,5.452,159208992.0,093815,1
49,603320,迪贝电气,10.0105,20.88,344416000.0,3114170112.0,3114170112.0,11.2399,13906100.0,100132,143708,14,1/1,1,电机,20260115,603320,迪贝电气,1,10.0105,3114170112.0,11.2399,344416000.0,100132,14
50,603360,百傲化学,10.0101,32.64,997977024.0,23051100160.0,23051100160.0,4.4643,115031000.0,135347,135347,0,1/1,1,农药兽药,20260115,603360,百傲化学,1,10.0101,23051100160.0,4.4643,997977024.0,135347,0
51,603402,陕西旅游,10.0021,155.84,723636992.0,3012910080.0,12051600384.0,24.6965,97422896.0,112305,112305,0,1/1,1,旅游酒店,20260115,603402,陕西旅游,1,10.0021,3012910080.0,24.6965,723636992.0,112305,0
52,603650,彤程新材,9.99817,59.96,2247759872.0,36843798528.0,36941799424.0,6.41743,231470000.0,130707,130707,0,1/1,1,橡胶制品,20260115,603650,彤程新材,1,9.99817,36843798528.0,6.41743,2247759872.0,130707,0
53,603938,三孚股份,10.0043,25.73,776032000.0,9844929536.0,9844929536.0,8.27015,61248200.0,135814,135814,0,3/6,1,化学制品,20260115,603938,三孚股份,1,10.0043,9844929536.0,8.27015,776032000.0,135814,0
54,605287,德才股份,9.98818,37.22,456696992.0,5210800128.0,5210800128.0,8.87054,12340000.0,093101,143816,2,2/2,2,装修装饰,20260115,605287,德才股份,2,9.98818,5210800128.0,8.87054,456696992.0,093101,2
