序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000559,万向钱潮,10.0578,9.52,1892899968.0,31452000256,31452100608,6.07378,200611008.0,093212,094136,2,2/2,2,汽车零部,20250916,000559,万向钱潮,2,10.0578,31452000256,6.07378,1892899968.0,093212,2
2,000564,供销大集,10.1504,2.93,3352379904.0,43114999808,52910100480,7.85317,238586000.0,093236,093736,3,1/1,1,商业百货,20250916,000564,供销大集,1,10.1504,43114999808,7.85317,3352379904.0,093236,3
3,000700,模塑科技,10.0488,11.28,909451008.0,10355200000,10355200000,9.04944,130325000.0,140454,140454,0,1/1,1,汽车零部,20250916,000700,模塑科技,1,10.0488,10355200000,9.04944,909451008.0,140454,0
4,000981,山子高科,10.1639,3.36,8381510144.0,31964899328,33591500800,27.651,99097200.0,131757,134403,5,3/3,3,汽车零部,20250916,000981,山子高科,3,10.1639,31964899328,27.651,8381510144.0,131757,5
5,001202,炬申股份,10.0302,18.21,491888992.0,2127360000,3035440128,24.1972,12230800.0,103218,105251,5,3/4,1,物流行业,20250916,001202,炬申股份,1,10.0302,2127360000,24.1972,491888992.0,103218,5
6,001234,泰慕士,9.99271,30.16,96976496.0,2760260096,3299919872,3.51331,240194000.0,092500,092500,0,2/2,2,纺织服装,20250916,001234,泰慕士,2,9.99271,2760260096,3.51331,96976496.0,092500,0
7,002050,三花智控,10.0112,39.23,8960440320.0,144535994368,165116002304,6.46033,454724992.0,131330,131330,0,1/1,1,家电行业,20250916,002050,三花智控,1,10.0112,144535994368,6.46033,8960440320.0,131330,0
8,002067,景兴纸业,10.0372,5.92,751974016.0,7148469760,7960990208,10.7245,192035008.0,093236,093321,1,1/1,1,造纸印刷,20250916,002067,景兴纸业,1,10.0372,7148469760,10.7245,751974016.0,093236,1
9,002126,银轮股份,10.0055,39.91,1200640000.0,31297099776,33316800512,3.89984,168791008.0,094654,094654,0,1/1,1,汽车零部,20250916,002126,银轮股份,1,10.0055,31297099776,3.89984,1200640000.0,094654,0
10,002146,荣盛发展,9.84456,2.12,1805090048.0,8292429824,9218110464,22.0401,58208800.0,093254,111403,6,3/3,3,房地产开,20250916,002146,荣盛发展,3,9.84456,8292429824,22.0401,1805090048.0,093254,6
11,002154,报 喜 鸟,10.1299,4.24,769150016.0,5002240000,6187570176,15.9485,45095200.0,134221,134221,0,1/1,1,纺织服装,20250916,002154,报 喜 鸟,1,10.1299,5002240000,15.9485,769150016.0,134221,0
12,002172,澳洋健康,10.0,4.73,41397000.0,3619739904,3621910016,1.14365,179518000.0,092500,092500,0,1/1,1,医疗服务,20250916,002172,澳洋健康,1,10.0,3619739904,1.14365,41397000.0,092500,0
13,002183,怡 亚 通,10.0182,6.04,1978680064.0,15685799936,15685900288,13.115,164124000.0,101524,101524,0,2/2,2,贸易行业,20250916,002183,怡 亚 通,2,10.0182,15685799936,13.115,1978680064.0,101524,0
14,002210,飞马国际,9.94318,3.87,885200000.0,10279700480,10298999808,8.90963,139539008.0,100130,100130,0,1/1,1,环保行业,20250916,002210,飞马国际,1,9.94318,10279700480,8.90963,885200000.0,100130,0
15,002249,大洋电机,10.0,10.34,2762569984.0,18920499200,25254600704,15.3957,121105000.0,110918,110918,0,2/3,1,电机,20250916,002249,大洋电机,1,10.0,18920499200,15.3957,2762569984.0,110918,0
16,002400,省广集团,9.98811,9.25,1292979968.0,15966999552,16125899776,8.17089,272623008.0,093033,093033,0,1/1,1,文化传媒,20250916,002400,省广集团,1,9.98811,15966999552,8.17089,1292979968.0,093033,0
17,002472,双环传动,10.0025,44.76,2356580096.0,33792800768,38014701568,7.262,121105000.0,112921,112921,0,1/1,1,汽车零部,20250916,002472,双环传动,1,10.0025,33792800768,7.262,2356580096.0,112921,0
18,002530,金财互联,10.0,12.87,2223130112.0,8946239488,10028300288,25.9174,184260992.0,140018,140018,0,1/1,1,互联网服,20250916,002530,金财互联,1,10.0,8946239488,25.9174,2223130112.0,140018,0
19,002535,林州重机,9.92736,4.54,209946000.0,3388379904,3639640064,6.33512,184892000.0,095051,095051,0,1/1,1,专用设备,20250916,002535,林州重机,1,9.92736,3388379904,6.33512,209946000.0,095051,0
20,002545,东方铁塔,10.0074,14.84,1006400000.0,16771600384,18461900800,6.12236,41590400.0,094333,144718,1,1/1,1,化肥行业,20250916,002545,东方铁塔,1,10.0074,16771600384,6.12236,1006400000.0,094333,1
21,002622,皓宸医疗,10.1036,4.25,409384000.0,3569890048,3569999872,11.8246,52418600.0,130103,130103,0,1/1,1,医疗服务,20250916,002622,皓宸医疗,1,10.1036,3569890048,11.8246,409384000.0,130103,0
