序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000070,特发信息,10.0191,11.53,738273984.0,10246500352,10380999680,7.34791,212747008.0,093900,093900,0,1/1,1,通信设备,20250912,000070,特发信息,1,10.0191,10246500352,7.34791,738273984.0,093900,0
2,000603,盛达资源,10.0203,21.63,688067008.0,14421099520,14924000256,4.97426,84802896.0,101600,101600,0,1/1,1,有色金属,20250912,000603,盛达资源,1,10.0203,14421099520,4.97426,688067008.0,101600,0
3,000718,苏宁环球,9.96678,3.31,388455008.0,7553730048,10044600320,5.18452,87218096.0,093027,093127,1,4/4,4,房地产开,20250912,000718,苏宁环球,4,9.96678,7553730048,5.18452,388455008.0,093027,1
4,000737,北方铜业,10.0081,13.63,1483160064.0,25958899712,25961299968,5.76787,198496000.0,093136,094500,1,1/1,1,有色金属,20250912,000737,北方铜业,1,10.0081,25958899712,5.76787,1483160064.0,093136,1
5,000757,浩物股份,10.017,6.48,264067008.0,3451930112,3452000000,7.84966,82342800.0,112527,112527,0,1/1,1,汽车服务,20250912,000757,浩物股份,1,10.017,3451930112,7.84966,264067008.0,112527,0
6,000833,粤桂股份,10.0143,15.38,1111139968.0,6977939968,12336000000,16.6128,45953900.0,112024,112654,1,1/1,1,综合行业,20250912,000833,粤桂股份,1,10.0143,6977939968,16.6128,1111139968.0,112024,1
7,000980,众泰汽车,10.0295,3.73,2017069952.0,18767099904,18808700928,11.0131,34074800.0,095706,133851,4,3/5,1,汽车整车,20250912,000980,众泰汽车,1,10.0295,18767099904,11.0131,2017069952.0,095706,4
8,000981,山子高科,9.92064,2.77,5279079936.0,26352001024,27693000704,20.4955,100918000.0,100630,142330,5,1/1,1,汽车零部,20250912,000981,山子高科,1,9.92064,26352001024,20.4955,5279079936.0,100630,5
9,001202,炬申股份,9.98804,18.39,317375008.0,2148389888,3065449984,14.975,374124992.0,093324,093403,1,2/2,2,物流行业,20250912,001202,炬申股份,2,9.98804,2148389888,14.975,317375008.0,093324,1
10,001309,德明利,10.0,109.78,1805080064.0,17540100096,24907599872,10.3474,269328000.0,093445,095018,1,1/1,1,半导体,20250912,001309,德明利,1,10.0,17540100096,10.3474,1805080064.0,093445,1
11,002021,中捷资源,9.85402,3.01,355007008.0,3598269952,3598390016,10.2097,113564000.0,095121,095121,0,1/1,1,专用设备,20250912,002021,中捷资源,1,9.85402,3598269952,10.2097,355007008.0,095121,0
