序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000555,神州信息,9.98207,18.4,2714060032.0,17883000832,17954199552,15.6327,192236000.0,094109,100121,2,3/6,2,互联网服,20251030,000555,神州信息,2,9.98207,17883000832,15.6327,2714060032.0,094109,2
2,000593,德龙汇能,10.0209,10.54,544112000.0,3778409984,3779970048,14.5013,34862000.0,092500,095533,4,3/3,2,燃气,20251030,000593,德龙汇能,2,10.0209,3778409984,14.5013,544112000.0,092500,4
3,000809,和展能源,10.1266,3.48,104272000.0,2870269952,2870269952,3.71214,182007008.0,101148,101148,0,1/1,1,风电设备,20251030,000809,和展能源,1,10.1266,2870269952,3.71214,104272000.0,101148,0
4,001203,大中矿业,9.98759,17.73,763265984.0,22876798976,26737199104,3.36451,173847008.0,093042,093651,2,2/2,2,钢铁行业,20251030,001203,大中矿业,2,9.98759,22876798976,3.36451,763265984.0,093042,2
5,002150,通润装备,9.97932,21.27,311424000.0,7625670144,7726000128,4.1374,190256000.0,093118,093118,0,2/2,2,光伏设备,20251030,002150,通润装备,2,9.97932,7625670144,4.1374,311424000.0,093118,0
6,002160,常铝股份,10.0352,6.25,1290720000.0,4959560192,6454880256,26.5455,101962000.0,093203,094900,3,4/6,2,有色金属,20251030,002160,常铝股份,2,10.0352,4959560192,26.5455,1290720000.0,093203,3
7,002176,江特电机,9.98062,11.35,3763429888.0,19363299328,19366799360,19.8754,188258000.0,112812,131939,1,1/1,1,电机,20251030,002176,江特电机,1,9.98062,19363299328,19.8754,3763429888.0,112812,1
8,002196,方正电机,9.95976,10.93,664867008.0,5336960000,5419879936,12.7278,115285000.0,093515,093515,0,2/3,1,电机,20251030,002196,方正电机,1,9.95976,5336960000,12.7278,664867008.0,093515,0
9,002248,华东数控,10.0087,12.64,793174976.0,3886739968,3886739968,21.1664,105898000.0,094751,094751,0,1/1,1,通用设备,20251030,002248,华东数控,1,10.0087,3886739968,21.1664,793174976.0,094751,0
10,002314,南山控股,10.0,3.19,164320000.0,4269100032,8637830144,3.85052,65054300.0,093000,093000,0,1/1,1,房地产开,20251030,002314,南山控股,1,10.0,4269100032,3.85052,164320000.0,093000,0
11,002374,中锐股份,10.1449,3.04,190112992.0,3299040000,3299040000,5.95774,16344200.0,145103,145618,1,1/1,1,包装材料,20251030,002374,中锐股份,1,10.1449,3299040000,5.95774,190112992.0,145103,1
12,002418,康盛股份,9.95763,5.19,1095779968.0,5897900032,5897920000,18.922,119368000.0,093618,093618,0,2/2,2,家电行业,20251030,002418,康盛股份,2,9.95763,5897900032,18.922,1095779968.0,093618,0
13,002430,杭氧股份,9.9851,29.52,1429560064.0,28860999680,28880900096,5.05945,12704100.0,105651,145657,2,1/1,1,专用设备,20251030,002430,杭氧股份,1,9.9851,28860999680,5.05945,1429560064.0,105651,2
14,002612,朗姿股份,10.0232,18.99,540625984.0,4837499904,8402039808,11.2072,53872700.0,093030,094636,5,1/1,1,纺织服装,20251030,002612,朗姿股份,1,10.0232,4837499904,11.2072,540625984.0,093030,5
15,002679,福建金森,10.0259,12.73,254466000.0,3001169920,3001169920,9.11128,60488900.0,131951,131951,0,1/1,1,农牧饲渔,20251030,002679,福建金森,1,10.0259,3001169920,9.11128,254466000.0,131951,0
16,002756,永兴材料,10.012,45.82,1744550016.0,17811599360,24701599744,10.1494,69478200.0,112248,131748,2,1/1,1,钢铁行业,20251030,002756,永兴材料,1,10.012,17811599360,10.1494,1744550016.0,112248,2
17,002759,天际股份,10.0039,28.04,3762880000.0,14046400512,14058800128,27.9752,108753000.0,101909,131721,2,1/1,1,电池,20251030,002759,天际股份,1,10.0039,14046400512,27.9752,3762880000.0,101909,2
18,002769,普路通,9.96714,10.04,266194000.0,3745019904,3748110080,7.36304,42093700.0,103545,103545,0,1/1,1,物流行业,20251030,002769,普路通,1,9.96714,3745019904,7.36304,266194000.0,103545,0
19,002790,瑞尔特,9.95976,10.93,104171000.0,2849420032,4567340032,3.65585,438703008.0,092500,092500,0,3/3,3,装修建材,20251030,002790,瑞尔特,3,9.95976,2849420032,3.65585,104171000.0,092500,0
20,002836,新宏泽,9.96276,11.81,59328800.0,2721019904,2721019904,2.21711,50991500.0,093203,093203,0,1/1,1,造纸印刷,20251030,002836,新宏泽,1,9.96276,2721019904,2.21711,59328800.0,093203,0
21,002903,宇环数控,9.98607,23.68,193376000.0,2501880064,3689459968,7.8659,101792000.0,093442,093442,0,1/1,1,通用设备,20251030,002903,宇环数控,1,9.98607,2501880064,7.8659,193376000.0,093442,0
22,002950,奥美医疗,9.97009,11.03,214264000.0,4985509888,6984920064,4.33524,75413296.0,093430,093430,0,1/1,1,医疗器械,20251030,002950,奥美医疗,1,9.97009,4985509888,4.33524,214264000.0,093430,0
23,002975,博杰股份,9.9984,68.87,348084992.0,7290509824,11040000000,4.77526,160488992.0,092500,093742,1,1/1,1,专用设备,20251030,002975,博杰股份,1,9.9984,7290509824,4.77526,348084992.0,092500,1
24,003036,泰坦股份,10.024,18.33,192308992.0,3964160000,3964179968,5.05099,125324000.0,142609,142609,0,1/1,1,专用设备,20251030,003036,泰坦股份,1,10.024,3964160000,5.05099,192308992.0,142609,0
25,300438,鹏辉能源,20.0049,48.59,2705910016.0,19638300672,24457500672,13.9423,231082000.0,093157,093506,2,1/1,1,电池,20251030,300438,鹏辉能源,1,20.0049,19638300672,13.9423,2705910016.0,093157,2
26,300745,欣锐科技,20.0,29.82,664044032.0,4215340032,4998260224,16.844,49943200.0,112539,112539,0,1/1,1,汽车零部,20251030,300745,欣锐科技,1,20.0,4215340032,16.844,664044032.0,112539,0
27,600100,同方股份,9.94898,8.62,1227869952.0,28879599616,28879599616,4.29335,121023000.0,093603,093733,1,1/1,1,计算机设,20251030,600100,同方股份,1,9.94898,28879599616,4.29335,1227869952.0,093603,1
28,600292,远达环保,9.98428,13.99,862588032.0,10923599872,10923599872,8.00294,46779800.0,130850,142323,1,1/1,1,环保行业,20251030,600292,远达环保,1,9.98428,10923599872,8.00294,862588032.0,130850,1
29,600295,鄂尔多斯,9.97096,11.36,260179008.0,22442500096,31794100224,1.18171,26261200.0,100250,100250,0,1/1,1,钢铁行业,20251030,600295,鄂尔多斯,1,9.97096,22442500096,1.18171,260179008.0,100250,0
30,600569,安阳钢铁,10.084,2.62,356999008.0,7525740032,7525740032,4.9042,14136600.0,110854,112212,1,1/1,1,钢铁行业,20251030,600569,安阳钢铁,1,10.084,7525740032,4.9042,356999008.0,110854,1
31,600683,京投发展,10.02,5.49,172840992.0,4066870016,4066870016,4.25855,90795504.0,093022,093022,0,2/2,2,房地产开,20251030,600683,京投发展,2,10.02,4066870016,4.25855,172840992.0,093022,0
32,600773,西藏城投,10.0352,12.5,668804992.0,11894800384,11894800384,5.85523,91637504.0,135203,135203,0,1/1,1,房地产开,20251030,600773,西藏城投,1,10.0352,11894800384,5.85523,668804992.0,135203,0
33,601872,招商轮船,10.0233,9.44,1097939968.0,76223602688,76223602688,1.4515,53344200.0,093552,144125,2,1/1,1,航运港口,20251030,601872,招商轮船,1,10.0233,76223602688,1.4515,1097939968.0,093552,2
34,603026,石大胜华,9.99827,63.59,741827968.0,12888399872,14797500416,5.99503,94678200.0,101555,101555,0,1/1,1,化学制品,20251030,603026,石大胜华,1,9.99827,12888399872,5.99503,741827968.0,101555,0
35,603067,振华股份,10.0,23.98,1656390016.0,17043999744,17043999744,10.0711,3128810.0,142235,145032,5,2/2,2,化学原料,20251030,603067,振华股份,2,10.0,17043999744,10.0711,1656390016.0,142235,5
36,603122,合富中国,10.0124,8.9,700622976.0,3542670080,3542670080,20.48,45562700.0,093917,103926,2,3/3,3,医药商业,20251030,603122,合富中国,3,10.0124,3542670080,20.48,700622976.0,093917,2
37,603169,兰石重装,9.97625,9.26,224990000.0,12096300032,12096300032,1.86,192476992.0,092501,092501,0,1/1,1,专用设备,20251030,603169,兰石重装,1,9.97625,12096300032,1.86,224990000.0,092501,0
38,603232,格尔软件,10.0214,25.69,2119459968.0,5942099968,6015309824,38.6998,5757230.0,111809,144730,18,4/6,1,软件开发,20251030,603232,格尔软件,1,10.0214,5942099968,38.6998,2119459968.0,111809,18
39,603282,亚光股份,9.98948,20.92,176975008.0,1342739968,2799510016,13.1845,15884600.0,093001,142307,3,1/1,1,专用设备,20251030,603282,亚光股份,1,9.98948,1342739968,13.1845,176975008.0,093001,3
40,603378,亚士创能,10.0,10.01,765742976.0,4290249984,4290249984,18.3724,23489900.0,093412,145139,4,5/5,5,装修建材,20251030,603378,亚士创能,5,10.0,4290249984,18.3724,765742976.0,093412,4
41,603686,福龙马,10.0117,28.13,3077090048.0,11686099968,11686099968,27.7331,324256992.0,144346,144346,0,1/1,1,环保行业,20251030,603686,福龙马,1,10.0117,11686099968,27.7331,3077090048.0,144346,0
42,603909,建发合诚,10.0088,12.53,100576000.0,3266230016,3266230016,3.13987,44169900.0,093359,093359,0,1/1,1,工程咨询,20251030,603909,建发合诚,1,10.0088,3266230016,3.13987,100576000.0,093359,0
43,605060,联德股份,10.0,32.34,172370000.0,7727329792,7780749824,2.24011,27877900.0,093411,093411,0,1/1,1,通用设备,20251030,605060,联德股份,1,10.0,7727329792,2.24011,172370000.0,093411,0
44,605178,时空科技,9.99827,63.48,393073984.0,6289600000,6289600000,6.2496,574876032.0,092502,092502,0,9/18,6,装修装饰,20251030,605178,时空科技,6,9.99827,6289600000,6.2496,393073984.0,092502,0
45,605286,同力日升,9.99229,42.82,229318000.0,7193759744,7193759744,3.29562,70646600.0,134456,134456,0,1/1,1,专用设备,20251030,605286,同力日升,1,9.99229,7193759744,3.29562,229318000.0,134456,0
46,605305,中际联合,9.99254,44.25,607625024.0,9404010496,9404010496,6.49935,116147000.0,093243,142110,1,1/1,1,风电设备,20251030,605305,中际联合,1,9.99254,9404010496,6.49935,607625024.0,093243,1
