序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000559,万向钱潮,10.0509,8.65,637814976.0,28577699840,28577800192,2.28791,141580000.0,094321,094321,0,1/1,1,汽车零部,20250915,000559,万向钱潮,1,10.0509,28577699840,2.28791,637814976.0,094321,0
2,000572,海马汽车,9.97963,5.4,363375008.0,8868169728,8881040384,4.16796,123014000.0,093406,093406,0,1/1,1,汽车整车,20250915,000572,海马汽车,1,9.97963,8868169728,4.16796,363375008.0,093406,0
3,000727,冠捷科技,10.0372,2.96,826230016.0,13407500288,13407500288,6.42823,173435008.0,133248,133248,0,1/1,1,光学光电,20250915,000727,冠捷科技,1,10.0372,13407500288,6.42823,826230016.0,133248,0
4,000813,德展健康,10.0233,4.72,491975008.0,9896710144,9898340352,5.04166,51212600.0,093321,094057,2,1/1,1,化学制药,20250915,000813,德展健康,1,10.0233,9896710144,5.04166,491975008.0,093321,2
5,000981,山子高科,10.1083,3.05,3873939968.0,29015699456,30492299264,13.5179,287942016.0,093215,102121,2,2/2,2,汽车零部,20250915,000981,山子高科,2,10.1083,29015699456,13.5179,3873939968.0,093215,2
6,001234,泰慕士,9.98797,27.42,164024000.0,2509489920,3000120064,6.66974,54958500.0,095400,095400,0,1/1,1,纺织服装,20250915,001234,泰慕士,1,9.98797,2509489920,6.66974,164024000.0,095400,0
7,001301,尚太科技,9.99688,70.53,1791640064.0,11383300096,18394400768,15.8531,12124100.0,093103,142709,6,1/1,1,非金属材,20250915,001301,尚太科技,1,9.99688,11383300096,15.8531,1791640064.0,093103,6
8,001331,胜通能源,10.0079,13.85,238294000.0,2325080064,3909019904,10.6951,139223008.0,111730,111730,0,1/1,1,物流行业,20250915,001331,胜通能源,1,10.0079,2325080064,10.6951,238294000.0,111730,0
9,002055,得润电子,10.0,8.69,861502976.0,5161769984,5253020160,17.1747,86100496.0,104127,104127,0,1/1,1,消费电子,20250915,002055,得润电子,1,10.0,5161769984,17.1747,861502976.0,104127,0
10,002066,瑞泰科技,10.0364,15.13,257188992.0,3495030016,3554139904,7.48086,49871300.0,100939,100939,0,1/1,1,装修建材,20250915,002066,瑞泰科技,1,10.0364,3495030016,7.48086,257188992.0,100939,0
11,002082,万邦德,10.0,11.33,447911008.0,6268360192,6930440192,7.49603,120249000.0,142930,142930,0,1/1,1,化学制药,20250915,002082,万邦德,1,10.0,6268360192,7.49603,447911008.0,142930,0
12,002146,荣盛发展,10.2857,1.93,1579309952.0,7549239808,8391960064,21.5966,104425000.0,093133,144324,2,2/2,2,房地产开,20250915,002146,荣盛发展,2,10.2857,7549239808,21.5966,1579309952.0,093133,2
13,002183,怡 亚 通,10.02,5.49,668974016.0,14257500160,14257600512,4.77076,155752000.0,093718,093718,0,1/1,1,贸易行业,20250915,002183,怡 亚 通,1,10.02,14257500160,4.77076,668974016.0,093718,0
14,002196,方正电机,10.0106,10.33,646700992.0,5043990016,5122359808,13.2054,125699000.0,094933,094933,0,1/1,1,电机,20250915,002196,方正电机,1,10.0106,5043990016,13.2054,646700992.0,094933,0
15,002290,禾盛新材,10.0,38.72,260144000.0,9578959872,9606909952,2.75236,59432100.0,093918,093918,0,1/1,1,家电行业,20250915,002290,禾盛新材,1,10.0,9578959872,2.75236,260144000.0,093918,0
16,002310,东方园林,9.87654,2.67,335820992.0,11211499520,16018199552,3.03937,50470500.0,093724,094009,1,1/1,1,电力行业,20250915,002310,东方园林,1,9.87654,11211499520,3.03937,335820992.0,093724,1
17,002330,得利斯,10.101,5.45,205556000.0,3461720064,3462469888,5.93797,57258800.0,092500,092500,0,1/1,1,食品饮料,20250915,002330,得利斯,1,10.101,3461720064,5.93797,205556000.0,092500,0
18,002392,北京利尔,10.0442,9.97,987900032.0,11404499968,11869200384,8.79497,21583100.0,093118,112024,2,1/1,1,装修建材,20250915,002392,北京利尔,1,10.0442,11404499968,8.79497,987900032.0,093118,2
19,002418,康盛股份,10.0233,4.72,869340032.0,5363800064,5363809792,16.744,35478400.0,142300,145318,3,1/1,1,家电行业,20250915,002418,康盛股份,1,10.0233,5363800064,16.744,869340032.0,142300,3
20,002471,中超控股,10.0213,5.16,1197180032.0,6733779968,7062799872,18.3322,123780000.0,105015,105015,0,1/1,1,电网设备,20250915,002471,中超控股,1,10.0213,6733779968,18.3322,1197180032.0,105015,0
21,002624,完美世界,10.0118,18.68,1639910016.0,34142099456,36238598144,4.93552,122071000.0,102448,103333,1,1/1,1,游戏,20250915,002624,完美世界,1,10.0118,34142099456,4.93552,1639910016.0,102448,1
22,002642,荣联科技,10.0493,11.17,1673600000.0,7389850112,7389850112,23.67,209712000.0,130315,130315,0,2/3,1,互联网服,20250915,002642,荣联科技,1,10.0493,7389850112,23.67,1673600000.0,130315,0
23,002703,浙江世宝,10.0163,13.51,541288000.0,7917510144,11113799680,6.97392,125566000.0,094054,094054,0,1/1,1,汽车零部,20250915,002703,浙江世宝,1,10.0163,7917510144,6.97392,541288000.0,094054,0
24,002709,天赐材料,9.98573,30.84,1805520000.0,42710499328,59038400512,4.30961,449886016.0,093357,093357,0,1/1,1,化学制品,20250915,002709,天赐材料,1,9.98573,42710499328,4.30961,1805520000.0,093357,0
25,002766,索菱股份,10.0592,5.58,262934000.0,4764049920,4808840192,5.59634,50173300.0,093051,094012,1,1/1,1,汽车零部,20250915,002766,索菱股份,1,10.0592,4764049920,5.59634,262934000.0,093051,1
26,002813,路畅科技,9.98357,26.77,136711008.0,3208549888,3212400128,4.3846,88094304.0,095245,095245,0,1/1,1,汽车零部,20250915,002813,路畅科技,1,9.98357,3208549888,4.3846,136711008.0,095245,0
27,002896,中大力德,10.0053,103.02,2177139968.0,20245800960,20245800960,11.0173,224660000.0,095206,095206,0,1/1,1,通用设备,20250915,002896,中大力德,1,10.0053,20245800960,11.0173,2177139968.0,095206,0
28,003033,征和工业,10.0,50.82,327216000.0,4103399936,4154530048,8.10947,189042000.0,095015,095015,0,1/1,1,汽车零部,20250915,003033,征和工业,1,10.0,4103399936,8.10947,327216000.0,095015,0
29,300004,南风股份,20.0159,15.11,1457159936.0,7252700160,7252700160,22.4004,84624304.0,142142,142142,0,2/3,1,专用设备,20250915,300004,南风股份,1,20.0159,7252700160,22.4004,1457159936.0,142142,0
30,300043,星辉娱乐,20.0,6.66,1485479936.0,8281970176,8286360064,19.1128,78045904.0,104218,134718,2,1/1,1,游戏,20250915,300043,星辉娱乐,1,20.0,8281970176,19.1128,1485479936.0,104218,2
31,300049,福瑞股份,20.0058,82.24,1903529984.0,19203100672,21791600640,10.8285,75468600.0,140418,142900,3,1/1,1,医疗器械,20250915,300049,福瑞股份,1,20.0058,19203100672,10.8285,1903529984.0,140418,3
32,300209,有棵树,19.9609,6.13,604092992.0,3003810048,5692539904,21.5597,40906700.0,132054,132054,0,1/1,1,互联网服,20250915,300209,有棵树,1,19.9609,3003810048,21.5597,604092992.0,132054,0
33,300661,圣邦股份,20.0,87.42,9160930304.0,51815100416,54026498048,17.8398,29140600.0,092500,145321,9,1/1,1,半导体,20250915,300661,圣邦股份,1,20.0,51815100416,17.8398,9160930304.0,092500,9
34,300959,线上线下,19.9958,57.43,722179008.0,3006759936,4615520256,25.5002,26297200.0,133833,141518,5,1/1,1,通信服务,20250915,300959,线上线下,1,19.9958,3006759936,25.5002,722179008.0,133833,5
35,301125,腾亚精工,19.9795,23.42,267547008.0,2748480000,3319970048,10.169,78199800.0,094833,094833,0,1/1,1,通用设备,20250915,301125,腾亚精工,1,19.9795,2748480000,10.169,267547008.0,094833,0
