序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000036,华联控股,10.0539,6.13,129388000.0,8589060096,8605410304,1.50642,391408000.0,092500,092500,0,2/3,1,房地产开,20251223,000036,华联控股,1,10.0539,8589060096,1.50642,129388000.0,092500,0
2,000551,创元科技,9.97606,13.78,857268992.0,6655499776,6679620096,13.1794,78932496.0,093533,094142,3,2/2,2,环保行业,20251223,000551,创元科技,2,9.97606,6655499776,13.1794,857268992.0,093533,3
3,000566,海南海药,10.0503,8.76,2966030080.0,10213199872,11364899840,29.4259,59236900.0,093051,144536,7,3/3,3,化学制药,20251223,000566,海南海药,3,10.0503,10213199872,29.4259,2966030080.0,093051,7
4,000695,滨海能源,10.0324,13.6,480720000.0,3016630016,3021210112,16.7622,79096200.0,110933,110933,0,1/1,1,造纸印刷,20251223,000695,滨海能源,1,10.0324,3016630016,16.7622,480720000.0,110933,0
5,000759,中百集团,10.0,8.91,1614759936.0,5842339840,5902550016,29.1407,20548200.0,131130,133351,2,1/1,1,商业百货,20251223,000759,中百集团,1,10.0,5842339840,29.1407,1614759936.0,131130,2
6,000859,国风新材,10.0,10.56,1475820032.0,9460970496,9461510144,16.3763,158751008.0,095012,095012,0,1/1,1,塑料制品,20251223,000859,国风新材,1,10.0,9460970496,16.3763,1475820032.0,095012,0
7,001331,胜通能源,10.0174,31.63,85679296.0,5309910016,8927250432,1.61357,504704000.0,092500,092500,0,8/8,8,物流行业,20251223,001331,胜通能源,8,10.0174,5309910016,1.61357,85679296.0,092500,0
8,001336,楚环科技,10.0173,31.85,456164992.0,1483670016,2559899904,33.0082,379976992.0,134906,134921,1,3/3,3,专用设备,20251223,001336,楚环科技,3,10.0173,1483670016,33.0082,456164992.0,134906,1
9,002098,浔兴股份,9.96917,10.7,284112992.0,3830479872,3830599936,7.73044,54513300.0,110727,110727,0,1/1,1,纺织服装,20251223,002098,浔兴股份,1,9.96917,3830479872,7.73044,284112992.0,110727,0
10,002163,海南发展,10.0063,17.59,242938000.0,14134400000,14862799872,1.71877,989875968.0,092500,092500,0,3/3,3,玻璃玻纤,20251223,002163,海南发展,3,10.0063,14134400000,1.71877,242938000.0,092500,0
11,002201,九鼎新材,10.0,9.35,321152992.0,5628919808,6092800000,5.86761,35106400.0,100312,100312,0,1/1,1,玻璃玻纤,20251223,002201,九鼎新材,1,10.0,5628919808,5.86761,321152992.0,100312,0
12,002228,合兴包装,9.95935,5.41,833841984.0,6542430208,6564420096,12.9359,78476000.0,093157,094212,5,2/2,2,包装材料,20251223,002228,合兴包装,2,9.95935,6542430208,12.9359,833841984.0,093157,5
13,002272,川润股份,10.0207,15.92,1341609984.0,6152970240,7719249920,22.4502,106279000.0,130630,133736,1,1/1,1,工程机械,20251223,002272,川润股份,1,10.0207,6152970240,22.4502,1341609984.0,130630,1
