序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000036,华联控股,10.02,5.49,704124992.0,7692319744,7706959872,9.27556,31756700.0,100057,140924,2,1/1,1,房地产开,20251219,000036,华联控股,1,10.02,7692319744,9.27556,704124992.0,100057,2
2,000417,合百集团,10.0396,8.33,780713984.0,6489299968,6496439808,12.4905,84868600.0,131500,131500,0,1/1,1,商业百货,20251219,000417,合百集团,1,10.0396,6489299968,12.4905,780713984.0,131500,0
3,000419,通程控股,9.9844,7.05,427110016.0,3832260096,3832260096,11.4777,32333400.0,143433,143745,2,1/1,1,商业百货,20251219,000419,通程控股,1,9.9844,3832260096,11.4777,427110016.0,143433,2
4,000510,新金路,9.97921,10.58,662825984.0,6418509824,6861590016,10.6155,102071000.0,103039,103039,0,1/1,1,化学原料,20251219,000510,新金路,1,9.97921,6418509824,10.6155,662825984.0,103039,0
5,000523,红棉股份,10.0295,3.73,321275008.0,4942850048,6846300160,6.62601,54191100.0,100118,100348,1,1/1,1,食品饮料,20251219,000523,红棉股份,1,10.0295,4942850048,6.62601,321275008.0,100118,1
6,000566,海南海药,10.0304,7.24,913990976.0,8441079808,9392919552,11.3727,101948000.0,141436,141436,0,1/1,1,化学制药,20251219,000566,海南海药,1,10.0304,8441079808,11.3727,913990976.0,141436,0
7,000632,三木集团,10.0352,6.25,586606976.0,2909260032,2909499904,21.0725,130098000.0,134851,134851,0,1/1,1,综合行业,20251219,000632,三木集团,1,10.0352,2909260032,21.0725,586606976.0,134851,0
8,000639,西王食品,10.0304,3.62,355207008.0,3907520000,3907529984,9.5069,98948704.0,103633,103633,0,1/1,1,食品饮料,20251219,000639,西王食品,1,10.0304,3907520000,9.5069,355207008.0,103633,0
9,000826,启迪环境,9.90566,2.33,246568992.0,3320649984,3321070080,7.63692,56392800.0,135206,135206,0,1/1,1,环保行业,20251219,000826,启迪环境,1,9.90566,3320649984,7.63692,246568992.0,135206,0
10,000863,三湘印象,10.0971,5.67,667680000.0,6597700096,6694569984,10.5226,14408000.0,100645,144721,1,2/2,2,房地产开,20251219,000863,三湘印象,2,10.0971,6597700096,10.5226,667680000.0,100645,1
11,000917,电广传媒,10.0535,10.29,1771740032.0,14585700352,14586699776,12.7283,119390000.0,130539,130539,0,1/1,1,文化传媒,20251219,000917,电广传媒,1,10.0535,14585700352,12.7283,1771740032.0,130539,0
12,000981,山子高科,9.93377,3.32,2731830016.0,31584299008,33191600128,8.8518,366452000.0,100554,100554,0,1/1,1,汽车零部,20251219,000981,山子高科,1,9.93377,31584299008,8.8518,2731830016.0,100554,0
13,001331,胜通能源,10.0168,26.14,29091400.0,4388270080,7377750016,0.662936,552769024.0,092500,092500,0,6/6,6,物流行业,20251219,001331,胜通能源,6,10.0168,4388270080,0.662936,29091400.0,092500,0
14,001336,楚环科技,9.98746,26.32,102515000.0,1226070016,2115430016,8.63971,58414600.0,104848,104848,0,1/1,1,专用设备,20251219,001336,楚环科技,1,9.98746,1226070016,8.63971,102515000.0,104848,0
15,001379,腾达科技,10.0043,25.62,332680000.0,1724199936,5123999744,19.6255,33162000.0,093909,094200,1,1/1,1,通用设备,20251219,001379,腾达科技,1,10.0043,1724199936,19.6255,332680000.0,093909,1
16,002046,国机精工,9.99167,39.63,1751920000.0,20955799552,21252300800,8.38395,74760200.0,093033,100824,6,1/1,1,通用设备,20251219,002046,国机精工,1,9.99167,20955799552,8.38395,1751920000.0,093033,6
17,002105,信隆健康,10.0567,7.77,321668992.0,2831950080,2859830016,11.8624,83950800.0,133312,133312,0,1/1,1,交运设备,20251219,002105,信隆健康,1,10.0567,2831950080,11.8624,321668992.0,133312,0
18,002133,广宇集团,10.1587,3.47,175268992.0,2671450112,2686279936,6.85271,25204300.0,130012,130012,0,1/1,1,房地产开,20251219,002133,广宇集团,1,10.1587,2671450112,6.85271,175268992.0,130012,0
19,002149,西部材料,10.0029,37.72,4774960128.0,18412599296,18415400960,26.8786,215688000.0,094133,134203,1,6/11,2,小金属,20251219,002149,西部材料,2,10.0029,18412599296,26.8786,4774960128.0,094133,1
20,002163,海南发展,9.98487,14.54,1826620032.0,11683600384,12285700096,16.8117,226910000.0,135206,135206,0,1/1,1,玻璃玻纤,20251219,002163,海南发展,1,9.98487,11683600384,16.8117,1826620032.0,135206,0
21,002188,中天服务,10.0147,7.47,302361984.0,1922499968,2443470080,15.8775,38399800.0,093009,094045,1,3/3,3,房地产服,20251219,002188,中天服务,3,10.0147,1922499968,15.8775,302361984.0,093009,1
22,002204,大连重工,10.0418,7.89,454665984.0,15238500352,15238500352,3.02364,120847000.0,093657,093657,0,1/1,1,工程机械,20251219,002204,大连重工,1,10.0418,15238500352,3.02364,454665984.0,093657,0
23,002264,新 华 都,10.0354,9.32,697027008.0,6102580224,6708639744,11.8492,88924896.0,112015,112015,0,1/1,1,互联网服,20251219,002264,新 华 都,1,10.0354,6102580224,11.8492,697027008.0,112015,0
