序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000010,美丽生态,9.95261,4.64,336336992.0,3394409984,5334389760,10.2519,49919900.0,095100,095100,0,1/1,1,工程建设,20250808,000010,美丽生态,1,9.95261,3394409984,10.2519,336336992.0,095100,0
2,000501,武商集团,9.98117,11.68,368195008.0,8973670400,8981829632,4.10694,145764000.0,093000,093000,0,1/1,1,商业百货,20250808,000501,武商集团,1,9.98117,8973670400,4.10694,368195008.0,093000,0
3,000534,万泽股份,10.0128,17.25,942316992.0,8588060160,8794670080,11.5079,164768992.0,131100,131100,0,3/6,1,生物制品,20250808,000534,万泽股份,1,10.0128,8588060160,11.5079,942316992.0,131100,0
4,000702,正虹科技,10.0522,8.43,661308032.0,2247729920,2922050048,29.8494,2800450.0,095006,145633,11,1/1,1,农牧饲渔,20250808,000702,正虹科技,1,10.0522,2247729920,29.8494,661308032.0,095006,11
5,000877,天山股份,10.0569,5.8,679916032.0,41240801280,41240899584,1.70348,68266800.0,133930,133930,0,1/1,1,水泥建材,20250808,000877,天山股份,1,10.0569,41240801280,1.70348,679916032.0,133930,0
6,000901,航天科技,9.99351,16.95,1275020032.0,13529400320,13529499648,9.65827,115590000.0,093651,094112,1,3/4,1,汽车零部,20250808,000901,航天科技,1,9.99351,13529400320,9.65827,1275020032.0,093651,1
7,001278,一彬科技,10.0054,20.23,226168992.0,1022310016,2503130112,22.9439,64970700.0,135845,135845,0,1/1,1,汽车零部,20250808,001278,一彬科技,1,10.0054,1022310016,22.9439,226168992.0,135845,0
8,002046,国机精工,9.98937,31.05,3945999872.0,16372100096,16651100160,24.7657,70997800.0,094427,144827,10,5/5,5,通用设备,20250808,002046,国机精工,5,9.98937,16372100096,24.7657,3945999872.0,094427,10
9,002097,山河智能,10.0317,17.33,4638790144.0,18589499392,18623100928,26.2563,119727000.0,105906,111933,3,9/15,1,工程机械,20250808,002097,山河智能,1,10.0317,18589499392,26.2563,4638790144.0,105906,3
10,002164,宁波东力,10.0524,10.51,640534016.0,5042440192,5593149952,12.8127,73427904.0,093048,094106,1,1/1,1,通用设备,20250808,002164,宁波东力,1,10.0524,5042440192,12.8127,640534016.0,093048,1
11,002205,国统股份,10.0306,14.37,304824992.0,2670569984,2670569984,11.9453,91084200.0,132451,132451,0,1/1,1,水泥建材,20250808,002205,国统股份,1,10.0306,2670569984,11.9453,304824992.0,132451,0
12,002302,西部建设,9.9844,7.05,576264000.0,8899600384,8899600384,6.7443,133698000.0,133248,133248,0,1/1,1,水泥建材,20250808,002302,西部建设,1,9.9844,8899600384,6.7443,576264000.0,133248,0
13,002307,北新路桥,10.0239,4.61,725564992.0,5846819840,5846819840,12.6447,114238000.0,130048,130048,0,1/1,1,工程建设,20250808,002307,北新路桥,1,10.0239,5846819840,12.6447,725564992.0,130048,0
14,002313,日海智能,10.0,14.96,1836700032.0,5600970240,5601019904,34.5411,38814300.0,132515,145506,6,4/4,4,通信设备,20250808,002313,日海智能,4,10.0,5600970240,34.5411,1836700032.0,132515,6
15,002471,中超控股,9.95575,4.97,1267219968.0,6485830144,6802740224,19.9966,101793000.0,095724,095724,0,1/1,1,电网设备,20250808,002471,中超控股,1,9.95575,6485830144,19.9966,1267219968.0,095724,0
16,002551,尚荣医疗,9.95261,4.64,162986000.0,2835120128,3923089920,5.74881,79412000.0,092500,092500,0,2/2,2,医疗器械,20250808,002551,尚荣医疗,2,9.95261,2835120128,5.74881,162986000.0,092500,0
17,002664,信质集团,10.0,24.42,861836032.0,9830909952,9968239616,9.07141,45408100.0,130015,130015,0,1/1,1,汽车零部,20250808,002664,信质集团,1,10.0,9830909952,9.07141,861836032.0,130015,0
18,002674,兴业科技,9.99066,11.78,295943008.0,3446400000,3481590016,8.91733,56404800.0,102506,102506,0,1/1,1,纺织服装,20250808,002674,兴业科技,1,9.99066,3446400000,8.91733,295943008.0,102506,0
19,002706,良信股份,9.96055,11.15,1066649984.0,10202099712,12522800128,10.8454,75806600.0,112151,112151,0,2/4,1,电网设备,20250808,002706,良信股份,1,9.96055,10202099712,10.8454,1066649984.0,112151,0
20,002760,凤形股份,9.99053,23.23,425163008.0,2508580096,2508580096,17.8578,67270304.0,111539,111539,0,1/1,1,通用设备,20250808,002760,凤形股份,1,9.99053,2508580096,17.8578,425163008.0,111539,0
