序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000070,特发信息,9.98759,17.73,181288000.0,15756300288.0,15963100160.0,1.15058,352028992.0,092500,092500,0,3/6,2,通信设备,20260211,000070,特发信息,2,9.98759,15756300288.0,1.15058,181288000.0,092500,0
2,000510,新金路,10.0134,16.48,741318016.0,9997840384.0,10688000000.0,7.6747,152484000.0,102045,102045,0,1/1,1,化学原料,20260211,000510,新金路,1,10.0134,9997840384.0,7.6747,741318016.0,102045,0
3,000657,中钨高新,9.9979,52.37,4778789888.0,76089696256.0,119330996224.0,6.46056,169795008.0,131227,131227,0,1/1,1,小金属,20260211,000657,中钨高新,1,9.9979,76089696256.0,6.46056,4778789888.0,131227,0
4,000659,珠海中富,10.0,4.84,667118016.0,6222799872.0,6222799872.0,10.9615,3803760.0,103300,144151,4,1/1,1,包装材料,20260211,000659,珠海中富,1,10.0,6222799872.0,10.9615,667118016.0,103300,4
5,000892,欢瑞世纪,10.0334,9.87,2348420096.0,7015960064.0,9682280448.0,33.6943,51466100.0,092500,094927,3,3/3,3,文化传媒,20260211,000892,欢瑞世纪,3,10.0334,7015960064.0,33.6943,2348420096.0,092500,3
6,000962,东方钽业,10.0025,44.54,1237939968.0,22344099840.0,22486700032.0,5.69181,198192992.0,105142,105142,0,1/1,1,小金属,20260211,000962,东方钽业,1,10.0025,22344099840.0,5.69181,1237939968.0,105142,0
7,001217,华尔泰,9.97358,16.65,182912000.0,5470909952.0,5525640192.0,3.35974,123194000.0,093000,093000,0,2/3,1,化学原料,20260211,001217,华尔泰,1,9.97358,5470909952.0,3.35974,182912000.0,093000,0
8,001267,汇绿生态,10.0,28.93,1773010048.0,17536200704.0,22714800128.0,10.7178,108413000.0,140636,140636,0,1/1,1,工程建设,20260211,001267,汇绿生态,1,10.0,17536200704.0,10.7178,1773010048.0,140636,0
9,001359,平安电工,10.0065,85.2,280923008.0,3951579904.0,15804900352.0,7.3779,89140800.0,141433,141433,0,1/1,1,非金属材,20260211,001359,平安电工,1,10.0065,3951579904.0,7.3779,280923008.0,141433,0
10,001376,百通能源,9.99479,21.13,498439008.0,4516599808.0,9738819584.0,11.4408,251536000.0,133421,133421,0,1/1,1,公用事业,20260211,001376,百通能源,1,9.99479,4516599808.0,11.4408,498439008.0,133421,0
