序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000796,凯撒旅业,10.0372,5.92,994979968.0,7878139904,9494429696,13.0057,141843008.0,094539,094539,0,1/1,1,旅游酒店,20250829,000796,凯撒旅业,1,10.0372,7878139904,13.0057,994979968.0,094539,0
2,000831,中国稀土,9.99623,58.32,5200739840.0,61890400256,61890400256,8.54498,436300000.0,093706,094621,3,2/2,2,小金属,20250829,000831,中国稀土,2,9.99623,61890400256,8.54498,5200739840.0,093706,3
3,000839,国安股份,10.0719,3.06,649340992.0,11994699776,11994699776,5.61685,119329000.0,134733,134733,0,1/1,1,综合行业,20250829,000839,国安股份,1,10.0719,11994699776,5.61685,649340992.0,134733,0
4,000920,沃顿科技,10.0083,13.19,368052000.0,5565879808,6233869824,6.84269,91547800.0,095621,095621,0,1/1,1,环保行业,20250829,000920,沃顿科技,1,10.0083,5565879808,6.84269,368052000.0,095621,0
5,001301,尚太科技,9.99453,60.31,1029080000.0,9733820416,15731099648,10.9243,38392100.0,130742,134136,1,1/1,1,非金属材,20250829,001301,尚太科技,1,9.99453,9733820416,10.9243,1029080000.0,130742,1
6,002048,宁波华翔,10.0,27.28,1964749952.0,19363399680,22201399296,10.3654,39895300.0,103012,144039,6,1/1,1,汽车零部,20250829,002048,宁波华翔,1,10.0,19363399680,10.3654,1964749952.0,103012,6
7,002053,云南能投,9.97799,14.99,1170160000.0,13801600000,13801700352,8.75572,28249900.0,135815,143142,1,3/3,3,综合行业,20250829,002053,云南能投,3,9.97799,13801600000,8.75572,1170160000.0,135815,1
8,002074,国轩高科,10.0151,36.47,3045139968.0,63004299264,65844998144,5.02122,311800992.0,100042,100042,0,1/1,1,电池,20250829,002074,国轩高科,1,10.0151,63004299264,5.02122,3045139968.0,100042,0
9,002115,三维通信,9.97899,10.47,3529230080.0,7875489792,8491080192,45.4857,81001600.0,093042,131648,13,2/2,2,互联网服,20250829,002115,三维通信,2,9.97899,7875489792,45.4857,3529230080.0,093042,13
10,002156,通富微电,10.0066,33.09,5795769856.0,50212499456,50217299968,11.7277,343712992.0,094830,100206,1,1/1,1,半导体,20250829,002156,通富微电,1,10.0066,50212499456,11.7277,5795769856.0,094830,1
