序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000407,胜利股份,10.0164,6.7,1907120000.0,5867740160,5896569856,32.5184,85754400.0,092500,133733,5,6/6,6,燃气,20251118,000407,胜利股份,6,10.0164,5867740160,32.5184,1907120000.0,092500,5
2,000546,金圆股份,10.0318,6.91,383972992.0,4814230016,5373550080,7.98641,77943200.0,093003,095627,1,2/2,2,环保行业,20251118,000546,金圆股份,2,10.0318,4814230016,7.98641,383972992.0,093003,1
3,000547,航天发展,10.0483,11.39,4597089792.0,18091300864,18206599168,25.7585,153272000.0,093033,130206,2,3/3,3,通信设备,20251118,000547,航天发展,3,10.0483,18091300864,25.7585,4597089792.0,093033,2
4,000633,合金投资,9.94695,8.29,913500992.0,3192509952,3192529920,29.7346,3134120.0,102448,145639,7,3/4,1,有色金属,20251118,000633,合金投资,1,9.94695,3192509952,29.7346,913500992.0,102448,7
5,000681,视觉中国,9.99535,23.66,2646500096.0,15996600320,16575699968,16.9738,53509500.0,111236,143003,9,1/1,1,文化传媒,20251118,000681,视觉中国,1,9.99535,15996600320,16.9738,2646500096.0,111236,9
6,000798,中水渔业,9.9903,11.34,634001984.0,4148580096,4148839936,15.4447,43512500.0,093006,100930,3,3/3,3,农牧饲渔,20251118,000798,中水渔业,3,9.9903,4148580096,15.4447,634001984.0,093006,3
7,000955,欣龙控股,10.0654,8.42,995123968.0,4529900032,4533289984,23.2991,71143104.0,131124,131124,0,2/3,1,纺织服装,20251118,000955,欣龙控股,1,10.0654,4529900032,23.2991,995123968.0,131124,0
8,001216,华瓷股份,9.97865,20.61,585764992.0,5063600128,5190969856,11.7932,616819968.0,093400,093554,2,3/3,3,装修建材,20251118,001216,华瓷股份,3,9.97865,5063600128,11.7932,585764992.0,093400,2
9,001225,和泰机电,10.0,58.41,57025300.0,1228870016,3847280128,4.73649,91493400.0,093239,093239,0,2/3,1,通用设备,20251118,001225,和泰机电,1,10.0,1228870016,4.73649,57025300.0,093239,0
10,002029,七 匹 狼,9.97178,11.69,1109010048.0,7778599936,8241719808,14.7499,37722500.0,103548,110006,6,1/1,1,纺织服装,20251118,002029,七 匹 狼,1,9.97178,7778599936,14.7499,1109010048.0,103548,6
11,002153,石基信息,9.97009,11.03,743894976.0,17645400064,30102999040,4.29838,130647000.0,093736,093736,0,2/4,1,软件开发,20251118,002153,石基信息,1,9.97009,17645400064,4.29838,743894976.0,093736,0
12,002213,大为股份,9.9891,30.28,1282819968.0,6258670080,7189770240,20.8762,123106000.0,093812,093812,0,1/1,1,半导体,20251118,002213,大为股份,1,9.9891,6258670080,20.8762,1282819968.0,093812,0
13,002301,齐心集团,10.0741,7.43,475800000.0,5334669824,5359320064,9.05448,53270100.0,094630,101148,3,1/1,1,家用轻工,20251118,002301,齐心集团,1,10.0741,5334669824,9.05448,475800000.0,094630,3
14,002404,嘉欣丝绸,9.94236,7.63,156792000.0,3477659904,4273189888,4.59205,82235696.0,093224,093224,0,1/1,1,纺织服装,20251118,002404,嘉欣丝绸,1,9.94236,3477659904,4.59205,156792000.0,093224,0
15,002474,榕基软件,10.0,9.35,1088000000.0,4962659840,5817569792,22.3514,126738000.0,093715,093715,0,2/2,2,互联网服,20251118,002474,榕基软件,2,10.0,4962659840,22.3514,1088000000.0,093715,0
16,002682,龙洲股份,9.95792,7.84,978641024.0,4408900096,4408970240,22.2023,155902000.0,092500,140057,2,4/4,4,物流行业,20251118,002682,龙洲股份,4,9.95792,4408900096,22.2023,978641024.0,092500,2
17,002691,冀凯股份,10.0498,11.06,780824000.0,3715940096,3760399872,22.0575,54710500.0,112621,144727,2,3/6,1,专用设备,20251118,002691,冀凯股份,1,10.0498,3715940096,22.0575,780824000.0,112621,2
18,002715,登云股份,10.018,24.49,262779008.0,3379620096,3379620096,7.93966,54050700.0,102857,102857,0,1/1,1,汽车零部,20251118,002715,登云股份,1,10.018,3379620096,7.93966,262779008.0,102857,0
19,002813,路畅科技,9.98886,29.62,244222000.0,3550139904,3554400000,7.01646,35752700.0,095103,095248,1,1/1,1,汽车零部,20251118,002813,路畅科技,1,9.98886,3550139904,7.01646,244222000.0,095103,1
20,002836,新宏泽,9.9844,14.1,279150016.0,3248640000,3248640000,8.80907,45454100.0,100127,134700,4,1/1,1,造纸印刷,20251118,002836,新宏泽,1,9.9844,3248640000,8.80907,279150016.0,100127,4
21,002877,智能自控,9.97783,9.92,116585000.0,2385910016,3529969920,4.9546,264152000.0,094333,094333,0,1/1,1,仪器仪表,20251118,002877,智能自控,1,9.97783,2385910016,4.9546,116585000.0,094333,0
22,002878,元隆雅图,10.0161,20.54,607326976.0,4846060032,5381309952,12.7086,109527000.0,094318,094318,0,1/1,1,文化传媒,20251118,002878,元隆雅图,1,10.0161,4846060032,12.7086,607326976.0,094318,0
23,003041,真爱美家,9.99557,49.63,183120992.0,6790550016,7146720256,2.72666,92694496.0,093018,093018,0,5/5,5,纺织服装,20251118,003041,真爱美家,5,9.99557,6790550016,2.72666,183120992.0,093018,0
24,300071,福石控股,20.068,7.06,1768230016.0,6674180096,6805020160,29.5194,134962000.0,110803,110803,0,1/1,1,文化传媒,20251118,300071,福石控股,1,20.068,6674180096,29.5194,1768230016.0,110803,0
