序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000006,深振业Ａ,10.0535,10.29,502880000.0,13891399680,13891399680,3.6946,86408400.0,094854,094854,0,1/1,1,房地产开,20250930,000006,深振业Ａ,1,10.0535,13891399680,3.6946,502880000.0,094854,0
2,000021,深科技,9.98421,27.87,1974739968.0,43673100288,43680100352,4.56168,299046016.0,093303,093303,0,1/1,1,消费电子,20250930,000021,深科技,1,9.98421,43673100288,4.56168,1974739968.0,093303,0
3,000672,上峰水泥,9.98004,11.02,499630016.0,10682699776,10682699776,4.70505,30771300.0,093236,133406,2,1/1,1,水泥建材,20250930,000672,上峰水泥,1,9.98004,10682699776,4.70505,499630016.0,093236,2
4,000923,河钢资源,10.0123,17.91,865209024.0,11245700096,11690399744,7.86783,29891700.0,094645,135806,3,1/1,1,钢铁行业,20250930,000923,河钢资源,1,10.0123,11245700096,7.86783,865209024.0,094645,3
5,000960,锡业股份,9.98099,23.14,1159789952.0,38083899392,38083899392,3.04798,113507000.0,093009,093736,3,1/1,1,小金属,20250930,000960,锡业股份,1,9.98099,38083899392,3.04798,1159789952.0,093009,3
6,000981,山子高科,10.1299,4.24,6293060096.0,40336601088,42389299200,15.8384,183936000.0,094018,141742,7,8/13,2,汽车零部,20250930,000981,山子高科,2,10.1299,40336601088,15.8384,6293060096.0,094018,7
7,001301,尚太科技,10.0,83.71,858916992.0,13515299840,21831800832,6.51979,208396000.0,141218,141218,0,1/1,1,非金属材,20250930,001301,尚太科技,1,10.0,13515299840,6.51979,858916992.0,141218,0
8,001309,德明利,10.0011,204.69,1274349952.0,32704399360,46441299968,3.9213,192640992.0,093030,093318,3,4/8,1,半导体,20250930,001309,德明利,1,10.0011,32704399360,3.9213,1274349952.0,093030,3
9,002045,国光电器,9.98196,18.29,1704470016.0,10275900416,10287800320,17.237,160142000.0,143209,143209,0,1/1,1,消费电子,20250930,002045,国光电器,1,9.98196,10275900416,17.237,1704470016.0,143209,0
10,002082,万邦德,10.0,11.99,252464992.0,6633500160,7334150144,3.9149,82432600.0,103724,103724,0,1/1,1,化学制药,20250930,002082,万邦德,1,10.0,6633500160,3.9149,252464992.0,103724,0
11,002150,通润装备,9.98415,20.82,923363008.0,7464330240,7562540032,12.6189,67561504.0,095021,095300,1,3/5,2,光伏设备,20250930,002150,通润装备,2,9.98415,7464330240,12.6189,923363008.0,095021,1
12,002295,精艺股份,9.99254,14.75,899792000.0,3691840000,3696590080,25.0687,25301600.0,094251,105839,7,4/5,1,有色金属,20250930,002295,精艺股份,1,9.99254,3691840000,25.0687,899792000.0,094251,7
13,002298,中电鑫龙,10.0083,13.19,1242829952.0,8714019840,9762060288,14.5367,182404000.0,093239,093239,0,4/7,1,电网设备,20250930,002298,中电鑫龙,1,10.0083,8714019840,14.5367,1242829952.0,093239,0
14,002390,信邦制药,10.1449,3.8,361036000.0,7325709824,7386639872,5.05455,50181900.0,104827,104827,0,1/1,1,中药,20250930,002390,信邦制药,1,10.1449,7325709824,5.05455,361036000.0,104827,0
