序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000025,特  力Ａ,10.0262,20.96,496304992.0,8232629760,9034980352,6.31607,91755200.0,135454,135454,0,1/1,1,珠宝首饰,20251126,000025,特  力Ａ,1,10.0262,8232629760,6.31607,496304992.0,135454,0
2,000039,中集集团,10.0,9.35,1764489984.0,21518200832,50420101120,8.46188,34263300.0,131921,131921,0,1/1,1,通用设备,20251126,000039,中集集团,1,10.0,21518200832,8.46188,1764489984.0,131921,0
3,000070,特发信息,10.0395,13.92,3122149888.0,12370400256,12532799488,25.8391,207132000.0,093130,102051,2,4/4,4,通信设备,20251126,000070,特发信息,4,10.0395,12370400256,25.8391,3122149888.0,093130,2
4,000078,海王生物,10.1961,2.81,257192992.0,7380299776,7393460224,3.55034,100336000.0,095533,095533,0,1/1,1,医药商业,20251126,000078,海王生物,1,10.1961,7380299776,3.55034,257192992.0,095533,0
5,000411,英特集团,9.96441,12.36,172024000.0,3990060032,6450610176,4.43835,83928600.0,111136,111136,0,1/1,1,医药商业,20251126,000411,英特集团,1,9.96441,3990060032,4.43835,172024000.0,111136,0
6,000509,华塑控股,10.1093,4.03,116329000.0,4324689920,4324709888,2.76254,55889000.0,094539,094539,0,1/1,1,光学光电,20251126,000509,华塑控股,1,10.1093,4324689920,2.76254,116329000.0,094539,0
7,000510,新金路,9.97151,7.72,162272000.0,4683449856,5006759936,3.46483,121318000.0,093000,093000,0,2/2,2,化学原料,20251126,000510,新金路,2,9.97151,4683449856,3.46483,162272000.0,093000,0
8,000523,红棉股份,9.90712,3.55,436987008.0,4704320000,6515910144,9.39175,11698300.0,101215,142830,5,1/1,1,食品饮料,20251126,000523,红棉股份,1,9.90712,4704320000,9.39175,436987008.0,101215,5
9,000652,泰达股份,10.0719,4.59,375936992.0,6767779840,6772879872,5.62097,26460600.0,095815,103442,3,1/1,1,综合行业,20251126,000652,泰达股份,1,10.0719,6767779840,5.62097,375936992.0,095815,3
10,000785,居然智家,9.89399,3.11,584737024.0,18341500928,19366100992,3.27959,78107000.0,110130,110403,1,1/1,1,商业百货,20251126,000785,居然智家,1,9.89399,18341500928,3.27959,584737024.0,110130,1
11,000788,北大医药,9.93976,7.3,655371008.0,4350709760,4350709760,15.2155,53434200.0,093357,094854,1,2/2,2,化学制药,20251126,000788,北大医药,2,9.93976,4350709760,15.2155,655371008.0,093357,1
12,000892,欢瑞世纪,10.0451,9.75,2444480000.0,6930659840,9564560384,37.3762,51498900.0,094121,145345,5,4/4,4,文化传媒,20251126,000892,欢瑞世纪,4,10.0451,6930659840,37.3762,2444480000.0,094121,5
13,000952,广济药业,9.98839,9.47,393639008.0,3257639936,3283729920,12.0836,110765000.0,093000,093000,0,3/3,3,化学制药,20251126,000952,广济药业,3,9.98839,3257639936,12.0836,393639008.0,093000,0
14,001387,雪祺电气,10.0366,15.02,221108000.0,1710930048,2749120000,12.9798,47168500.0,094551,094551,0,1/1,1,家电行业,20251126,001387,雪祺电气,1,10.0366,1710930048,12.9798,221108000.0,094551,0
15,002029,七 匹 狼,10.0204,10.76,510820992.0,7159770112,7586050048,7.43322,100310000.0,102330,102330,0,1/1,1,纺织服装,20251126,002029,七 匹 狼,1,10.0204,7159770112,7.43322,510820992.0,102330,0
16,002114,罗平锌电,9.95475,9.72,90417000.0,3143360000,3143399936,2.87645,469438016.0,092500,092500,0,2/2,2,有色金属,20251126,002114,罗平锌电,2,9.95475,3143360000,2.87645,90417000.0,092500,0
17,002153,石基信息,10.0,13.53,1542460032.0,21644800000,36926001152,7.39985,196114000.0,093457,103600,1,2/3,1,软件开发,20251126,002153,石基信息,1,10.0,21644800000,7.39985,1542460032.0,093457,1
18,002178,延华智能,10.0424,7.78,514430016.0,5537670144,5540550144,9.42523,83778304.0,093936,093936,0,1/1,1,软件开发,20251126,002178,延华智能,1,10.0424,5537670144,9.42523,514430016.0,093936,0
19,002187,广百股份,9.95406,7.18,298937984.0,5032419840,5032419840,6.04857,43640200.0,100021,100609,2,1/1,1,商业百货,20251126,002187,广百股份,1,9.95406,5032419840,6.04857,298937984.0,100021,2
20,002249,大洋电机,9.96016,11.04,1750210048.0,20200499200,26964299776,8.99822,145651008.0,105536,105536,0,1/1,1,电机,20251126,002249,大洋电机,1,9.96016,20200499200,8.99822,1750210048.0,105536,0
21,002264,新 华 都,9.98981,10.79,74052800.0,7065110016,7766759936,1.04815,480660000.0,092500,092500,0,4/4,4,互联网服,20251126,002264,新 华 都,4,9.98981,7065110016,1.04815,74052800.0,092500,0
22,002291,遥望科技,10.0391,8.44,1191580032.0,7335419904,7896000000,17.4813,180702000.0,143527,143527,0,1/1,1,互联网服,20251126,002291,遥望科技,1,10.0391,7335419904,17.4813,1191580032.0,143527,0
23,002397,梦洁股份,9.97506,4.41,113253000.0,2857070080,3297720064,4.12391,50532000.0,103645,103645,0,1/1,1,纺织服装,20251126,002397,梦洁股份,1,9.97506,2857070080,4.12391,113253000.0,103645,0
24,002398,垒知集团,9.95185,6.85,433788000.0,3899800064,4781470208,11.2133,97227504.0,093012,093027,1,2/2,2,装修建材,20251126,002398,垒知集团,2,9.95185,3899800064,11.2133,433788000.0,093012,1
25,002413,雷科防务,9.98573,7.71,3063369984.0,9969640448,10154000384,30.8004,203063008.0,092500,112612,7,3/3,3,通信设备,20251126,002413,雷科防务,3,9.98573,9969640448,30.8004,3063369984.0,092500,7
26,002486,嘉麟杰,9.96678,3.31,138526000.0,2715749888,2728379904,5.23779,57584200.0,094251,094251,0,1/1,1,纺织服装,20251126,002486,嘉麟杰,1,9.96678,2715749888,5.23779,138526000.0,094251,0
27,002510,天汽模,10.0,7.04,880401984.0,7074120192,7146579968,12.5777,35556200.0,104800,130639,4,1/1,1,汽车零部,20251126,002510,天汽模,1,10.0,7074120192,12.5777,880401984.0,104800,4
28,002512,达华智能,10.0182,6.04,482208992.0,6610489856,6719479808,7.3929,162790000.0,093054,093054,0,2/2,2,计算机设,20251126,002512,达华智能,2,10.0182,6610489856,7.3929,482208992.0,093054,0
