序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000620,盈新发展,10.1639,3.36,1894029952.0,15697099776.0,19729299456.0,12.5261,130507000.0,132545,132545,0,1/1,1,房地产开,20260116,000620,盈新发展,1,10.1639,15697099776.0,12.5261,1894029952.0,132545,0
2,000720,新能泰山,9.96979,3.64,275000992.0,4573770240.0,4573770240.0,6.10638,43137000.0,094954,094954,0,1/1,1,电网设备,20260116,000720,新能泰山,1,9.96979,4573770240.0,6.10638,275000992.0,094954,0
3,001207,联科科技,10.0081,27.15,355528992.0,5355610112.0,5878709760.0,6.7306,52427700.0,093506,103039,1,1/1,1,橡胶制品,20260116,001207,联科科技,1,10.0081,5355610112.0,6.7306,355528992.0,093506,1
4,001233,海安集团,10.0,76.78,418396000.0,2716930048.0,14279000064.0,15.8915,121833000.0,110106,110106,0,1/1,1,橡胶制品,20260116,001233,海安集团,1,10.0,2716930048.0,15.8915,418396000.0,110106,0
5,001255,博菲电气,10.002,55.21,137860000.0,3923000064.0,4772910080.0,3.58429,398415008.0,093021,093021,0,6/9,5,化学原料,20260116,001255,博菲电气,5,10.002,3923000064.0,3.58429,137860000.0,093021,0
6,002028,思源电气,10.0,185.9,2829779968.0,113299996672.0,145204002816.0,2.506,86941296.0,093000,142942,8,1/1,1,电网设备,20260116,002028,思源电气,1,10.0,113299996672.0,2.506,2829779968.0,093000,8
7,002048,宁波华翔,10.0068,32.21,2318459904.0,22862700544.0,26213599232.0,10.3246,13782700.0,103148,145512,12,1/1,1,汽车零部,20260116,002048,宁波华翔,1,10.0068,22862700544.0,10.3246,2318459904.0,103148,12
8,002119,康强电子,10.0201,21.85,1545319936.0,8199960064.0,8199960064.0,19.2485,142498000.0,093048,094212,1,2/2,2,半导体,20260116,002119,康强电子,2,10.0201,8199960064.0,19.2485,1545319936.0,093048,1
9,002156,通富微电,10.0,46.86,8013740032.0,71107796992.0,71114596352.0,11.7112,476956000.0,132724,132724,0,1/1,1,半导体,20260116,002156,通富微电,1,10.0,71107796992.0,11.7112,8013740032.0,132724,0
10,002196,方正电机,10.0,15.73,1135100032.0,7680730112.0,7800070144.0,15.3466,145183008.0,103809,103809,0,1/1,1,电机,20260116,002196,方正电机,1,10.0,7680730112.0,15.3466,1135100032.0,103809,0
11,002208,合肥城建,10.0389,14.14,1498759936.0,11355599872.0,11358499840.0,13.5377,85073104.0,135424,135424,0,1/1,1,房地产开,20260116,002208,合肥城建,1,10.0389,11355599872.0,13.5377,1498759936.0,135424,0
12,002331,皖通科技,9.97921,10.58,462296000.0,4188039936.0,4532810240.0,11.3976,99634896.0,112609,112609,0,1/1,1,互联网服,20260116,002331,皖通科技,1,9.97921,4188039936.0,11.3976,462296000.0,112609,0
13,002339,积成电子,9.97877,10.36,716302016.0,4960300032.0,5222400000.0,14.8661,190304000.0,102418,102418,0,1/1,1,电网设备,20260116,002339,积成电子,1,9.97877,4960300032.0,14.8661,716302016.0,102418,0
14,002358,森源电气,10.0683,6.45,251660000.0,5996919808.0,5996930048.0,4.21958,56209200.0,093045,093045,0,1/1,1,电网设备,20260116,002358,森源电气,1,10.0683,5996919808.0,4.21958,251660000.0,093045,0
15,002498,汉缆股份,10.101,4.36,396203008.0,14504800256.0,14504800256.0,2.77,71303400.0,093651,093651,0,1/1,1,电网设备,20260116,002498,汉缆股份,1,10.101,14504800256.0,2.77,396203008.0,093651,0
16,002664,信质集团,10.0,26.29,781345024.0,10583700480.0,10731599872.0,7.70259,40473500.0,140142,140142,0,1/1,1,汽车零部,20260116,002664,信质集团,1,10.0,10583700480.0,7.70259,781345024.0,140142,0
17,002796,世嘉科技,10.0,43.45,1017249984.0,9893919744.0,10965300224.0,10.5526,61349500.0,101957,104733,9,2/2,2,专用设备,20260116,002796,世嘉科技,2,10.0,9893919744.0,10.5526,1017249984.0,101957,9
18,002830,名雕股份,10.0,22.22,120091000.0,1485459968.0,2962810112.0,8.29225,44051700.0,095718,095718,0,1/1,1,装修装饰,20260116,002830,名雕股份,1,10.0,1485459968.0,8.29225,120091000.0,095718,0
19,002943,宇晶股份,10.0,59.62,777140992.0,7897789952.0,12249400320.0,10.1461,105980000.0,135530,135530,0,1/1,1,通用设备,20260116,002943,宇晶股份,1,10.0,7897789952.0,10.1461,777140992.0,135530,0
20,002953,日丰股份,10.0332,13.27,261352000.0,2822309888.0,6523259904.0,9.54427,134620992.0,095542,095542,0,1/1,1,电网设备,20260116,002953,日丰股份,1,10.0332,2822309888.0,9.54427,261352000.0,095542,0
21,300215,电科院,20.0,8.16,626078976.0,4078939904.0,6112609792.0,16.193,59344400.0,095554,095554,0,1/1,1,专业服务,20260116,300215,电科院,1,20.0,4078939904.0,16.193,626078976.0,095554,0
22,300606,金太阳,20.0,31.02,686345024.0,3650259968.0,4291549952.0,20.1691,71825296.0,104100,104100,0,1/1,1,通用设备,20260116,300606,金太阳,1,20.0,3650259968.0,20.1691,686345024.0,104100,0
23,300780,德恩精工,19.9796,23.54,704339008.0,2531369984.0,3452610048.0,29.5502,56706700.0,112018,112018,0,1/1,1,通用设备,20260116,300780,德恩精工,1,19.9796,2531369984.0,29.5502,704339008.0,112018,0
24,300952,恒辉安防,20.0048,49.85,270828992.0,5223710208.0,8603450368.0,5.29842,104747000.0,093248,093248,0,1/1,1,纺织服装,20260116,300952,恒辉安防,1,20.0048,5223710208.0,5.29842,270828992.0,093248,0
25,301235,华康洁净,20.01,48.22,706715008.0,3507660032.0,5196890112.0,21.5025,63761300.0,131442,131442,0,1/1,1,医疗服务,20260116,301235,华康洁净,1,20.01,3507660032.0,21.5025,706715008.0,131442,0
