序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000007,全新好,10.0474,11.61,393915008.0,4022259968,4022259968,9.96135,2967520.0,100739,130321,3,1/1,1,房地产服,20251215,000007,全新好,1,10.0474,4022259968,9.96135,393915008.0,100739,3
2,000061,农 产 品,9.9675,10.15,279078016.0,17223899136,20147400704,1.65838,25924200.0,094812,094812,0,1/1,1,贸易行业,20251215,000061,农 产 品,1,9.9675,17223899136,1.65838,279078016.0,094812,0
3,000536,华映科技,9.96016,5.52,917248000.0,15252200448,15268500480,6.01491,224548000.0,092500,093345,2,1/1,1,光学光电,20251215,000536,华映科技,1,9.96016,15252200448,6.01491,917248000.0,092500,2
4,000620,盈新发展,10.0372,2.96,1054110016.0,13828400128,17380599808,7.86544,136795008.0,100827,100827,0,1/1,1,房地产开,20251215,000620,盈新发展,1,10.0372,13828400128,7.86544,1054110016.0,100827,0
5,000825,太钢不锈,9.95475,4.86,686089984.0,27683799040,27683799040,2.50414,91844800.0,093342,094221,2,1/1,1,钢铁行业,20251215,000825,太钢不锈,1,9.95475,27683799040,2.50414,686089984.0,093342,2
6,000850,华茂股份,9.90783,4.77,243444992.0,4499999744,4501279744,5.53449,51148600.0,104509,104509,0,1/1,1,纺织服装,20251215,000850,华茂股份,1,9.90783,4499999744,5.53449,243444992.0,104509,0
7,000890,法尔胜,10.0511,6.46,82261696.0,2709910016,2710000128,3.03559,378625984.0,092500,092500,0,3/3,3,通用设备,20251215,000890,法尔胜,3,10.0511,2709910016,3.03559,82261696.0,092500,0
8,000950,重药控股,10.0486,6.79,1350150016.0,11734400000,11734400000,12.3087,69932800.0,110521,111109,1,3/4,1,医药商业,20251215,000950,重药控股,1,10.0486,11734400000,12.3087,1350150016.0,110521,1
9,000995,皇台酒业,10.0245,13.5,307127008.0,2395010048,2395010048,12.8763,10104700.0,093009,093606,1,1/1,1,酿酒行业,20251215,000995,皇台酒业,1,10.0245,2395010048,12.8763,307127008.0,093009,1
10,001208,华菱线缆,9.97552,17.97,140727008.0,4733259776,11471200256,2.97315,791192000.0,092500,092500,0,3/3,3,电网设备,20251215,001208,华菱线缆,3,9.97552,4733259776,2.97315,140727008.0,092500,0
11,001317,三羊马,10.007,47.27,399484000.0,1655309952,4044699904,24.9141,29484600.0,102224,102224,0,1/1,1,物流行业,20251215,001317,三羊马,1,10.007,1655309952,24.9141,399484000.0,102224,0
12,001318,阳光乳业,9.97286,16.21,119838000.0,4581919744,4581919744,2.6678,78941200.0,093242,093242,0,1/1,1,食品饮料,20251215,001318,阳光乳业,1,9.97286,4581919744,2.6678,119838000.0,093242,0
13,001331,胜通能源,9.98152,17.85,5710230.0,2996580096,5037980160,0.190558,624016000.0,092500,092500,0,2/2,2,物流行业,20251215,001331,胜通能源,2,9.98152,2996580096,0.190558,5710230.0,092500,0
14,002053,云南能投,10.0,12.21,246944992.0,11242000384,11242099712,2.26051,105482000.0,103733,103733,0,1/1,1,综合行业,20251215,002053,云南能投,1,10.0,11242000384,2.26051,246944992.0,103733,0
15,002083,孚日股份,10.0292,11.3,591105024.0,10693499904,10696999936,5.63246,140708992.0,093321,093321,0,2/4,1,纺织服装,20251215,002083,孚日股份,1,10.0292,10693499904,5.63246,591105024.0,093321,0
16,002115,三维通信,9.96377,12.14,2040770048.0,9131650048,9845430272,22.9744,156216000.0,100927,103854,2,1/1,1,互联网服,20251215,002115,三维通信,1,9.96377,9131650048,22.9744,2040770048.0,100927,2
17,002187,广百股份,9.95608,7.51,413753984.0,5263719936,5263719936,8.11463,85766896.0,111557,111557,0,1/1,1,商业百货,20251215,002187,广百股份,1,9.95608,5263719936,8.11463,413753984.0,111557,0
18,002300,太阳电缆,10.0094,11.76,139182000.0,8493899776,8494640128,1.63861,307432992.0,092500,092500,0,6/10,2,电网设备,20251215,002300,太阳电缆,2,10.0094,8493899776,1.63861,139182000.0,092500,0
19,002307,北新路桥,9.94264,5.75,605667008.0,7292680192,7292680192,8.48841,78158200.0,101524,101524,0,1/1,1,工程建设,20251215,002307,北新路桥,1,9.94264,7292680192,8.48841,605667008.0,101524,0
20,002329,皇氏集团,10.0529,4.16,262247008.0,2705619968,3462799872,9.89012,101289000.0,093212,093212,0,1/1,1,食品饮料,20251215,002329,皇氏集团,1,10.0529,2705619968,9.89012,262247008.0,093212,0
21,002374,中锐股份,10.0817,4.04,402396992.0,4384249856,4384249856,9.32732,62881800.0,093118,093136,1,2/2,2,包装材料,20251215,002374,中锐股份,2,10.0817,4384249856,9.32732,402396992.0,093118,1
22,002382,蓝帆医疗,10.0,5.72,141051008.0,5718269952,5760799744,2.49793,78818800.0,093554,093554,0,1/1,1,医疗器械,20251215,002382,蓝帆医疗,1,10.0,5718269952,2.49793,141051008.0,093554,0
23,002413,雷科防务,10.0331,9.98,5475500032.0,12904899584,13143600128,44.5499,66284200.0,103951,135000,20,8/16,1,通信设备,20251215,002413,雷科防务,1,10.0331,12904899584,44.5499,5475500032.0,103951,20
24,002471,中超控股,9.98117,5.84,201048992.0,7813199872,7993560064,2.5732,439425984.0,092500,092500,0,3/3,3,电网设备,20251215,002471,中超控股,3,9.98117,7813199872,2.5732,201048992.0,092500,0
25,002639,雪人集团,10.022,19.98,2507670016.0,12999400448,15436600320,19.3818,264795008.0,092500,094600,2,3/3,3,通用设备,20251215,002639,雪人集团,3,10.022,12999400448,19.3818,2507670016.0,092500,2
26,002674,兴业科技,10.0083,13.3,149190000.0,3891099904,3930830080,3.94601,72115296.0,101609,101609,0,1/1,1,纺织服装,20251215,002674,兴业科技,1,10.0083,3891099904,3.94601,149190000.0,101609,0
27,002676,顺威股份,10.0376,8.77,260352000.0,6314189824,6314399744,4.27111,74725696.0,102106,102106,0,1/1,1,家电行业,20251215,002676,顺威股份,1,10.0376,6314189824,4.27111,260352000.0,102106,0
28,002697,红旗连锁,10.0707,6.23,1256130048.0,7132740096,8472800256,17.9468,4750380.0,111042,145618,7,1/1,1,商业百货,20251215,002697,红旗连锁,1,10.0707,7132740096,17.9468,1256130048.0,111042,7
29,002792,通宇通讯,10.0,32.01,3186800128.0,10671699968,16788799488,30.3558,315280000.0,093354,100448,2,1/1,1,通信设备,20251215,002792,通宇通讯,1,10.0,10671699968,30.3558,3186800128.0,093354,2
30,300118,东方日升,20.018,13.37,2301169920.0,12391700480,15242000384,19.2569,81010704.0,101918,101918,0,1/1,1,光伏设备,20251215,300118,东方日升,1,20.018,12391700480,19.2569,2301169920.0,101918,0
31,300423,昇辉科技,20.0,10.26,1166029952.0,3420280064,5104470016,35.2124,5616020.0,093457,145639,1,1/1,1,电网设备,20251215,300423,昇辉科技,1,20.0,3420280064,35.2124,1166029952.0,093457,1
32,300997,欢乐家,19.9827,27.74,530296000.0,10707800064,12135499776,5.20046,125240000.0,093939,093939,0,1/1,1,食品饮料,20251215,300997,欢乐家,1,19.9827,10707800064,5.20046,530296000.0,093939,0
33,600113,浙江东日,10.0069,63.76,572568000.0,26232899584,26854199296,2.23187,62922100.0,094550,095608,3,1/1,1,综合行业,20251215,600113,浙江东日,1,10.0069,26232899584,2.23187,572568000.0,094550,3
34,600135,乐凯胶片,9.96524,9.49,306652992.0,5250880000,5250880000,5.95668,57848100.0,093612,093612,0,1/1,1,塑料制品,20251215,600135,乐凯胶片,1,9.96524,5250880000,5.95668,306652992.0,093612,0
35,600151,航天机电,10.0,16.94,2309560064.0,24296200192,24296200192,9.82856,190191008.0,094335,094335,0,7/12,2,光伏设备,20251215,600151,航天机电,2,10.0,24296200192,9.82856,2309560064.0,094335,0
36,600186,莲花控股,10.0379,5.81,909297984.0,10394900480,10417999872,8.96938,79304200.0,130613,133046,1,1/1,1,食品饮料,20251215,600186,莲花控股,1,10.0379,10394900480,8.96938,909297984.0,130613,1
37,600187,国中水务,9.87654,2.67,188422000.0,4308800000,4308800000,4.46609,59963000.0,100553,100553,0,1/1,1,公用事业,20251215,600187,国中水务,1,9.87654,4308800000,4.46609,188422000.0,100553,0
38,600192,长城电工,10.0204,10.76,94803600.0,4753209856,4753209856,1.99452,167138000.0,092501,092501,0,2/2,2,电网设备,20251215,600192,长城电工,2,10.0204,4753209856,1.99452,94803600.0,092501,0
39,600232,金鹰股份,9.95732,7.73,371211008.0,2819269888,2819269888,13.973,15708100.0,135359,135359,0,1/1,1,纺织服装,20251215,600232,金鹰股份,1,9.95732,2819269888,13.973,371211008.0,135359,0
40,600271,航天信息,10.0,9.68,862272000.0,17935900672,17935900672,4.92919,83541600.0,095116,111643,1,1/1,1,互联网服,20251215,600271,航天信息,1,10.0,17935900672,4.92919,862272000.0,095116,1
41,600399,抚顺特钢,10.0,5.72,905852032.0,11280400384,11280400384,8.18489,58310900.0,102213,102213,0,1/1,1,钢铁行业,20251215,600399,抚顺特钢,1,10.0,11280400384,8.18489,905852032.0,102213,0
42,600408,安泰集团,10.0656,5.03,647089984.0,5064200192,5064200192,13.1559,97558304.0,094601,094601,0,1/1,1,煤炭行业,20251215,600408,安泰集团,1,10.0656,5064200192,13.1559,647089984.0,094601,0
43,600737,中粮糖业,9.99405,18.49,1199020032.0,39547301888,39547301888,3.09404,50808700.0,095720,102702,1,1/1,1,食品饮料,20251215,600737,中粮糖业,1,9.99405,39547301888,3.09404,1199020032.0,095720,1
44,600865,百大集团,10.0168,13.07,817024000.0,4917459968,4917459968,17.1778,59414300.0,093200,102521,2,3/3,3,商业百货,20251215,600865,百大集团,3,10.0168,4917459968,17.1778,817024000.0,093200,2
45,600879,航天电子,10.0139,15.82,7244239872.0,52194902016,52194902016,14.2922,531582016.0,104103,112759,2,1/1,1,航天航空,20251215,600879,航天电子,1,10.0139,52194902016,14.2922,7244239872.0,104103,2
46,600936,广西广电,9.97567,4.52,1098870016.0,7553039872,7553039872,14.7978,28003200.0,093142,143818,29,3/3,3,文化传媒,20251215,600936,广西广电,3,9.97567,7553039872,14.7978,1098870016.0,093142,29
47,601208,东材科技,10.0252,21.84,1930659968.0,22235699200,22235699200,9.1614,117051000.0,141133,141133,0,1/1,1,塑料制品,20251215,601208,东材科技,1,10.0252,22235699200,9.1614,1930659968.0,141133,0
48,601700,风范股份,10.0,6.16,102232000.0,7036239872,7036239872,1.45293,111909000.0,092502,092502,0,2/2,2,电网设备,20251215,601700,风范股份,2,10.0,7036239872,1.45293,102232000.0,092502,0
49,601778,晶科科技,10.089,3.71,911115008.0,13248400384,13248400384,7.02442,94193600.0,101141,102950,1,1/1,1,电力行业,20251215,601778,晶科科技,1,10.089,13248400384,7.02442,911115008.0,101141,1
50,601828,美凯龙,9.92366,2.88,268513984.0,10406700032,12541599744,2.71371,56815500.0,133003,133003,0,3/5,1,商业百货,20251215,601828,美凯龙,1,9.92366,10406700032,2.71371,268513984.0,133003,0
51,601908,京运通,10.0257,4.28,595342016.0,10334499840,10334499840,6.02747,97413400.0,143745,143745,0,1/1,1,光伏设备,20251215,601908,京运通,1,10.0257,10334499840,6.02747,595342016.0,143745,0
52,603311,金海高科,9.97442,12.9,79798304.0,3042899968,3042899968,2.70801,51534800.0,110937,110937,0,1/1,1,家电行业,20251215,603311,金海高科,1,9.97442,3042899968,2.70801,79798304.0,110937,0
53,603601,再升科技,9.96441,9.27,3288329984.0,9549609984,9549609984,35.2939,1206430.0,095824,150000,16,6/6,6,玻璃玻纤,20251215,603601,再升科技,6,9.96441,9549609984,35.2939,3288329984.0,095824,16
54,603871,嘉友国际,10.0386,14.25,385288992.0,19494100992,19494100992,2.00125,35428400.0,100045,100045,0,1/1,1,物流行业,20251215,603871,嘉友国际,1,10.0386,19494100992,2.00125,385288992.0,100045,0
55,605339,南侨食品,10.0208,21.19,251178000.0,8990720000,8990720000,2.89885,59454900.0,130254,130254,0,1/1,1,食品饮料,20251215,605339,南侨食品,1,10.0208,8990720000,2.89885,251178000.0,130254,0
56,605388,均瑶健康,10.0418,7.89,167212000.0,4737820160,4737820160,3.60259,92969400.0,093808,093808,0,1/1,1,食品饮料,20251215,605388,均瑶健康,1,10.0418,4737820160,3.60259,167212000.0,093808,0
