序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000006,深振业Ａ,9.9665,13.13,756545024.0,17725300736,17725399040,4.33402,80895504.0,093303,093706,4,4/8,2,房地产开,20251013,000006,深振业Ａ,2,9.9665,17725300736,4.33402,756545024.0,093303,4
2,000045,深纺织Ａ,10.0,14.85,318927008.0,6786769920,7521849856,4.80259,86692304.0,093327,093406,1,1/1,1,光学光电,20251013,000045,深纺织Ａ,1,10.0,6786769920,4.80259,318927008.0,093327,1
3,000417,合百集团,9.93691,6.97,423696000.0,5429819904,5435789824,7.96295,45668500.0,095257,095257,0,1/1,1,商业百货,20251013,000417,合百集团,1,9.93691,5429819904,7.96295,423696000.0,095257,0
4,000831,中国稀土,10.0055,60.14,6813009920.0,63821799424,63821799424,11.0179,334727008.0,141245,141245,0,1/1,1,小金属,20251013,000831,中国稀土,1,10.0055,63821799424,11.0179,6813009920.0,141245,0
5,000962,东方钽业,9.99602,27.62,638937024.0,13854900224,13944399872,4.9333,118189000.0,135739,135739,0,1/1,1,小金属,20251013,000962,东方钽业,1,9.99602,13854900224,4.9333,638937024.0,135739,0
6,000969,安泰科技,9.99391,18.05,468472000.0,18649100288,18965499904,2.51203,445160992.0,092500,092500,0,3/3,3,通用设备,20251013,000969,安泰科技,3,9.99391,18649100288,2.51203,468472000.0,092500,0
7,000980,众泰汽车,10.0,3.96,1716870016.0,19924299776,19968499712,8.86855,56371300.0,095551,130606,2,1/1,1,汽车整车,20251013,000980,众泰汽车,1,10.0,19924299776,8.86855,1716870016.0,095551,2
8,002040,南 京 港,9.97096,11.36,532384992.0,5520280064,5543079936,10.1501,62284000.0,130327,130327,0,1/1,1,航运港口,20251013,002040,南 京 港,1,9.97096,5520280064,10.1501,532384992.0,130327,0
9,002208,合肥城建,9.98914,10.13,526868000.0,8135240192,8137350144,6.60777,85211904.0,093203,093354,2,3/6,2,房地产开,20251013,002208,合肥城建,2,9.98914,8135240192,6.60777,526868000.0,093203,2
10,002338,奥普光电,9.99312,63.95,723465984.0,15347999744,15347999744,4.76088,124089000.0,093121,093615,3,1/1,1,仪器仪表,20251013,002338,奥普光电,1,9.99312,15347999744,4.76088,723465984.0,093121,3
11,002407,多氟多,9.98415,20.82,3361890048.0,22497099776,24784799744,15.6253,143379008.0,134330,134330,0,1/1,1,化学制品,20251013,002407,多氟多,1,9.98415,22497099776,15.6253,3361890048.0,134330,0
12,002474,榕基软件,10.045,7.34,281688992.0,3895820032,4566949888,7.23053,96907000.0,092500,092500,0,1/1,1,互联网服,20251013,002474,榕基软件,1,10.045,3895820032,7.23053,281688992.0,092500,0
13,002513,蓝丰生化,9.97625,9.26,983292992.0,2455709952,3292519936,43.0621,161243008.0,102451,102912,4,8/10,1,农药兽药,20251013,002513,蓝丰生化,1,9.97625,2455709952,43.0621,983292992.0,102451,4
14,002549,凯美特气,9.9839,27.32,2629270016.0,18915299328,18996899840,14.0944,228840992.0,093321,093721,2,2/2,2,化学制品,20251013,002549,凯美特气,2,9.9839,18915299328,14.0944,2629270016.0,093321,2
15,002645,华宏科技,10.0,17.27,1280960000.0,9652679680,10838700032,13.8221,223820000.0,111600,111600,0,2/4,1,环保行业,20251013,002645,华宏科技,1,10.0,9652679680,13.8221,1280960000.0,111600,0
16,002701,奥瑞金,10.0176,6.26,856699008.0,16009400320,16024099840,5.43132,53789100.0,094012,102030,1,1/1,1,包装材料,20251013,002701,奥瑞金,1,10.0176,16009400320,5.43132,856699008.0,094012,1
17,002735,王子新材,9.98043,16.86,1231120000.0,4728609792,6440629760,26.6491,52618400.0,094839,095939,3,1/1,1,包装材料,20251013,002735,王子新材,1,9.98043,4728609792,26.6491,1231120000.0,094839,3
18,002759,天际股份,9.9856,22.91,2614429952.0,11476599808,11486699520,23.7077,148436000.0,102112,102112,0,5/6,1,电池,20251013,002759,天际股份,1,9.9856,11476599808,23.7077,2614429952.0,102112,0
19,002811,郑中设计,10.0,13.64,243211008.0,3861659904,4200709888,6.6461,115804000.0,102842,102842,0,1/1,1,专业服务,20251013,002811,郑中设计,1,10.0,3861659904,6.6461,243211008.0,102842,0
20,002952,亚世光电,9.98954,21.03,187170000.0,2802139904,3456069888,6.89134,71713104.0,094527,094609,1,1/1,1,光学光电,20251013,002952,亚世光电,1,9.98954,2802139904,6.89134,187170000.0,094527,1
21,300127,银河磁体,20.0124,38.74,1417769984.0,8941819904,12518700032,16.893,207883008.0,105733,105733,0,1/1,1,小金属,20251013,300127,银河磁体,1,20.0124,8941819904,16.893,1417769984.0,105733,0
22,300260,新莱应材,20.0,65.58,2713929984.0,18863200256,26744000512,14.8262,296438016.0,093500,093703,2,2/2,2,通用设备,20251013,300260,新莱应材,2,20.0,18863200256,14.8262,2713929984.0,093500,2
23,300779,惠城环保,20.0,170.88,2377949952.0,26895900672,33686401024,9.12185,99315504.0,104754,131833,9,1/1,1,环保行业,20251013,300779,惠城环保,1,20.0,26895900672,9.12185,2377949952.0,104754,9
24,300935,盈建科,20.0142,33.76,165058000.0,2034840064,2681580032,8.54214,39977200.0,094024,094024,0,1/1,1,软件开发,20251013,300935,盈建科,1,20.0142,2034840064,8.54214,165058000.0,094024,0
25,301013,利和兴,20.0127,37.9,3061169920.0,7172259840,8858859520,44.809,60336600.0,094918,144218,4,1/1,1,专用设备,20251013,301013,利和兴,1,20.0127,7172259840,44.809,3061169920.0,094918,4
26,301246,宏源药业,20.0136,17.69,722372992.0,2831160064,7076120064,26.9958,20378900.0,140409,142439,3,1/1,1,化学制药,20251013,301246,宏源药业,1,20.0136,2831160064,26.9958,722372992.0,140409,3
27,301323,新莱福,20.0,63.42,355759008.0,4249590016,6654210048,8.37324,110668000.0,092500,094151,1,1/1,1,塑料制品,20251013,301323,新莱福,1,20.0,4249590016,8.37324,355759008.0,092500,1
28,600010,包钢股份,9.84252,2.79,7104520192.0,87552401408,126354997248,8.15674,924276992.0,092501,100119,1,1/1,1,钢铁行业,20251013,600010,包钢股份,1,9.84252,87552401408,8.15674,7104520192.0,092501,1
29,600078,澄星股份,10.0,9.02,281102016.0,5976410112,6104849920,4.99618,104932000.0,093458,093458,0,3/3,3,化肥行业,20251013,600078,澄星股份,3,10.0,5976410112,4.99618,281102016.0,093458,0
30,600105,永鼎股份,9.99325,16.29,4906520064.0,23815899136,23815899136,21.9745,142488000.0,135259,135259,0,2/3,1,通信设备,20251013,600105,永鼎股份,1,9.99325,23815899136,21.9745,4906520064.0,135259,0
31,600111,北方稀土,10.0038,57.73,21455800320.0,208697999360,208697999360,10.5188,832924992.0,141651,141651,0,2/3,1,小金属,20251013,600111,北方稀土,1,10.0038,208697999360,10.5188,21455800320.0,141651,0
32,600206,有研新材,10.0045,24.19,2804270080.0,20478099456,20478099456,14.0951,113002000.0,133817,133817,0,1/1,1,小金属,20251013,600206,有研新材,1,10.0045,20478099456,14.0951,2804270080.0,133817,0
33,600234,科新发展,9.99039,11.45,92500200.0,3005870080,3005870080,3.1182,20600800.0,093153,093153,0,2/2,2,房地产开,20251013,600234,科新发展,2,9.99039,3005870080,3.1182,92500200.0,093153,0
34,600259,广晟有色,10.0085,64.85,2200329984.0,21817899008,21817899008,10.3957,29915300.0,142257,145048,1,1/1,1,小金属,20251013,600259,广晟有色,1,10.0085,21817899008,10.3957,2200329984.0,142257,1
35,600353,旭光电子,10.0158,20.87,1908909952.0,17297299456,17321598976,11.552,74040496.0,145517,145517,0,2/3,1,电子元件,20251013,600353,旭光电子,1,10.0158,17297299456,11.552,1908909952.0,145517,0
36,600363,联创光电,10.0032,69.39,2352519936.0,31469400064,31469400064,7.85626,20053.0,142452,144634,6,1/1,1,光学光电,20251013,600363,联创光电,1,10.0032,31469400064,7.85626,2352519936.0,142452,6
37,600382,广东明珠,10.0583,7.55,424243008.0,5242780160,5242780160,8.21688,56939500.0,093152,093943,5,2/2,2,钢铁行业,20251013,600382,广东明珠,2,10.0583,5242780160,8.21688,424243008.0,093152,5
38,600531,豫光金铅,10.0377,14.58,1537139968.0,15896800256,15896800256,10.1373,44913000.0,135510,141322,1,1/1,1,有色金属,20251013,600531,豫光金铅,1,10.0377,15896800256,10.1373,1537139968.0,135510,1
39,600536,中国软件,10.0,54.34,4851359744.0,45844299776,50742001664,10.706,167182000.0,093901,110043,4,1/1,1,软件开发,20251013,600536,中国软件,1,10.0,45844299776,10.706,4851359744.0,093901,4
40,600868,梅雁吉祥,10.1818,3.03,851102976.0,5751390208,5751390208,15.0804,52512400.0,100508,144132,2,1/1,1,电力行业,20251013,600868,梅雁吉祥,1,10.1818,5751390208,15.0804,851102976.0,100508,2
41,600980,北矿科技,9.99587,26.63,484678016.0,5000979968,5040090112,10.0768,96395296.0,110836,110836,0,1/1,1,小金属,20251013,600980,北矿科技,1,9.99587,5000979968,10.0768,484678016.0,110836,0
42,601011,宝泰隆,10.0917,3.6,161735008.0,6896390144,6896390144,2.34522,128576000.0,092501,092501,0,2/2,2,煤炭行业,20251013,601011,宝泰隆,2,10.0917,6896390144,2.34522,161735008.0,092501,0
43,601069,西部黄金,9.99666,32.9,1802380032.0,29188499456,29971900416,6.38233,108248000.0,133116,133116,0,2/3,1,贵金属,20251013,601069,西部黄金,1,9.99666,29188499456,6.38233,1802380032.0,133116,0
44,601212,白银有色,10.0394,5.59,3245159936.0,41392701440,41392701440,8.36479,119624000.0,143240,143516,1,3/3,3,有色金属,20251013,601212,白银有色,3,10.0394,41392701440,8.36479,3245159936.0,143240,1
45,601606,长城军工,10.0,51.92,5122560000.0,37601898496,37601898496,14.0638,339243008.0,104241,104241,0,2/2,2,专用设备,20251013,601606,长城军工,2,10.0,37601898496,14.0638,5122560000.0,104241,0
46,603011,合锻智能,10.0084,26.16,1820370048.0,12933900288,12933900288,14.4525,261484000.0,093217,093217,0,6/10,4,专用设备,20251013,603011,合锻智能,4,10.0084,12933900288,14.4525,1820370048.0,093217,0
47,603026,石大胜华,9.99389,54.04,631011008.0,10952800256,12575200256,6.0185,68085000.0,095543,095731,2,3/5,1,化学制品,20251013,603026,石大胜华,1,9.99389,10952800256,6.0185,631011008.0,095543,2
48,603038,华立股份,10.0,19.91,596166976.0,5349360128,5349360128,11.4715,35524800.0,104149,134419,1,1/1,1,装修装饰,20251013,603038,华立股份,1,10.0,5349360128,11.4715,596166976.0,104149,1
49,603257,中国瑞林,10.0073,75.41,450919008.0,1877709952,9049199616,24.8976,110244000.0,103030,103030,0,2/3,1,工程咨询,20251013,603257,中国瑞林,1,10.0073,1877709952,24.8976,450919008.0,103030,0
50,603516,淳中科技,10.0006,177.09,2406520064.0,35996798976,35996798976,7.1051,168792992.0,131332,131714,1,1/1,1,计算机设,20251013,603516,淳中科技,1,10.0006,35996798976,7.1051,2406520064.0,131332,1
51,603610,麒盛科技,9.98289,19.28,720566016.0,6805680128,6805680128,10.821,3412120.0,095140,144145,9,1/1,1,装修建材,20251013,603610,麒盛科技,1,9.98289,6805680128,10.821,720566016.0,095140,9
52,603690,至纯科技,9.99701,36.75,406336000.0,14073900032,14098899968,2.88715,510561984.0,092503,092503,0,1/1,1,专用设备,20251013,603690,至纯科技,1,9.99701,14073900032,2.88715,406336000.0,092503,0
53,603903,中持股份,9.99174,13.32,191818000.0,3400859904,3400859904,5.73033,36777900.0,093610,094123,1,1/1,1,环保行业,20251013,603903,中持股份,1,9.99174,3400859904,5.73033,191818000.0,093610,1
54,605188,国光连锁,10.0,17.27,270736992.0,8675730432,8675730432,3.21492,151488992.0,094102,094102,0,1/1,1,商业百货,20251013,605188,国光连锁,1,10.0,8675730432,3.21492,270736992.0,094102,0
55,605588,冠石科技,10.005,65.64,677856000.0,4798260224,4822450176,14.377,32432700.0,095132,130720,1,1/1,1,半导体,20251013,605588,冠石科技,1,10.005,4798260224,14.377,677856000.0,095132,1
56,605598,上海港湾,10.0188,29.32,360801984.0,7125250048,7171230208,5.19281,112884000.0,100344,100344,0,1/1,1,工程建设,20251013,605598,上海港湾,1,10.0188,7125250048,5.19281,360801984.0,100344,0
57,688347,华虹公司,20.0,135.72,7626310144.0,55339798528,235536007168,15.0019,168240000.0,143438,144859,2,1/1,1,半导体,20251013,688347,华虹公司,1,20.0,55339798528,15.0019,7626310144.0,143438,2
58,688401,路维光电,20.0,58.32,1113080064.0,11275200512,11275200512,10.5301,33516300.0,132828,134131,2,1/1,1,半导体,20251013,688401,路维光电,1,20.0,11275200512,10.5301,1113080064.0,132828,2
59,920509,同惠电子,29.9882,44.17,604088000.0,3709009920,7080699904,17.4057,50959500.0,102602,102602,0,1/1,1,电网设备,20251013,920509,同惠电子,1,29.9882,3709009920,17.4057,604088000.0,102602,0
