序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000546,金圆股份,9.93485,6.75,416543008.0,4702759936,5249129984,9.0376,150840000.0,093330,093330,0,2/4,1,环保行业,20251217,000546,金圆股份,1,9.93485,4702759936,9.0376,416543008.0,093330,0
2,001203,大中矿业,9.98834,28.3,1087680000.0,36515201024,42677100544,3.02875,181612992.0,110006,110006,0,1/1,1,钢铁行业,20251217,001203,大中矿业,1,9.98834,36515201024,3.02875,1087680000.0,110006,0
3,001255,博菲电气,10.0147,37.46,356060992.0,2661760000,3238419968,13.5348,508479008.0,093348,093524,2,2/2,2,化学原料,20251217,001255,博菲电气,2,10.0147,2661760000,13.5348,356060992.0,093348,2
4,001317,三羊马,10.0,57.2,1071480000.0,2003040000,4894360064,55.0501,44154900.0,093621,111836,5,3/3,3,物流行业,20251217,001317,三羊马,3,10.0,2003040000,55.0501,1071480000.0,093621,5
5,001331,胜通能源,9.97963,21.6,7820600.0,3626109952,6096379904,0.215674,546430976.0,092500,092500,0,4/4,4,物流行业,20251217,001331,胜通能源,4,9.97963,3626109952,0.215674,7820600.0,092500,0
6,001359,平安电工,9.99523,69.22,210598000.0,3210419968,12840500224,6.77044,59601700.0,102124,102124,0,1/1,1,非金属材,20251217,001359,平安电工,1,9.99523,3210419968,6.77044,210598000.0,102124,0
7,002044,美年健康,10.0604,5.47,1344909952.0,21191999488,21411000320,6.42999,120555000.0,093957,131739,2,1/1,1,医疗服务,20251217,002044,美年健康,1,10.0604,21191999488,6.42999,1344909952.0,093957,2
8,002188,中天服务,9.98217,6.17,126244000.0,1587929984,2018230016,8.26058,21224400.0,100512,100512,0,1/1,1,房地产服,20251217,002188,中天服务,1,9.98217,1587929984,8.26058,126244000.0,100512,0
9,002198,嘉应制药,9.95542,7.4,185876992.0,3755360000,3755569920,5.15062,78579800.0,133509,133509,0,1/1,1,中药,20251217,002198,嘉应制药,1,9.95542,3755360000,5.15062,185876992.0,133509,0
10,002240,盛新锂能,10.0068,32.32,2421349888.0,29505200128,29582299136,8.38215,88658304.0,105957,143806,1,1/1,1,能源金属,20251217,002240,盛新锂能,1,10.0068,29505200128,8.38215,2421349888.0,105957,1
