序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000066,中国长城,9.99338,16.62,2055699968.0,53609299968.0,53612797952.0,3.87601,325870016.0,093754,093754,0,1/1,1,计算机设,20260112,000066,中国长城,1,9.99338,53609299968.0,3.87601,2055699968.0,093754,0
2,000503,国新健康,10.0474,11.61,1173779968.0,11368399872.0,11369100288.0,10.468,58423500.0,092500,100142,2,2/2,2,软件开发,20260112,000503,国新健康,2,10.0474,11368399872.0,10.468,1173779968.0,092500,2
3,000593,德龙汇能,10.0153,14.39,478731008.0,5158569984.0,5160699904.0,9.54399,24440300.0,105951,111436,1,1/1,1,燃气,20260112,000593,德龙汇能,1,10.0153,5158569984.0,9.54399,478731008.0,105951,1
4,000612,焦作万方,10.0,13.31,1668519936.0,15857800192.0,15868199936.0,10.8501,10671900.0,130721,143848,16,1/1,1,有色金属,20260112,000612,焦作万方,1,10.0,15857800192.0,10.8501,1668519936.0,130721,16
5,000681,视觉中国,9.99231,28.62,363456000.0,19354699776.0,20050499584.0,1.87787,376460000.0,092500,092500,0,1/1,1,文化传媒,20260112,000681,视觉中国,1,9.99231,19354699776.0,1.87787,363456000.0,092500,0
6,000766,通化金马,9.98421,27.87,1297200000.0,26922600448.0,26936199168.0,4.8507,7678180.0,093630,144524,14,1/1,1,化学制药,20260112,000766,通化金马,1,9.98421,26922600448.0,4.8507,1297200000.0,093630,14
7,000785,居然智家,10.0671,3.28,730985024.0,19344099328.0,20424699904.0,3.875,44643100.0,102800,103212,2,1/1,1,商业百货,20260112,000785,居然智家,1,10.0671,19344099328.0,3.875,730985024.0,102800,2
8,000803,山高环能,10.0122,9.01,316315008.0,4142690048.0,4201329920.0,7.67408,48944000.0,093327,093327,0,1/1,1,综合行业,20260112,000803,山高环能,1,10.0122,4142690048.0,7.67408,316315008.0,093327,0
9,000889,中嘉博创,10.0559,3.94,195895008.0,3427209984.0,3688989952.0,5.82015,51034600.0,093048,101527,2,1/1,1,通信服务,20260112,000889,中嘉博创,1,10.0559,3427209984.0,5.82015,195895008.0,093048,2
10,000890,法尔胜,10.0189,5.82,263776000.0,2441440000.0,2441509888.0,10.9907,143292000.0,093506,093506,0,1/1,1,通用设备,20260112,000890,法尔胜,1,10.0189,2441440000.0,10.9907,263776000.0,093506,0
11,000892,欢瑞世纪,10.049,8.98,566000000.0,6383309824.0,8809199616.0,9.05434,145054000.0,094906,094906,0,1/1,1,文化传媒,20260112,000892,欢瑞世纪,1,10.049,6383309824.0,9.05434,566000000.0,094906,0
12,000917,电广传媒,10.0332,13.27,2521489920.0,18809700352.0,18811000832.0,13.5697,132997000.0,093848,101927,3,2/2,2,文化传媒,20260112,000917,电广传媒,2,10.0332,18809700352.0,13.5697,2521489920.0,093848,3
13,000969,安泰科技,10.004,27.71,2013379968.0,28645099520.0,29109899264.0,7.11017,268940000.0,093524,094403,6,2/2,2,通用设备,20260112,000969,安泰科技,2,10.004,28645099520.0,7.11017,2013379968.0,093524,6
14,000981,山子高科,10.0858,5.13,8480260096.0,48803500032.0,51286999040.0,17.713,262314000.0,112921,112921,0,1/1,1,汽车零部,20260112,000981,山子高科,1,10.0858,48803500032.0,17.713,8480260096.0,112921,0
15,001202,炬申股份,10.0249,17.67,154608000.0,2064280064.0,2945430016.0,7.64958,39397700.0,134706,134706,0,1/1,1,物流行业,20260112,001202,炬申股份,1,10.0249,2064280064.0,7.64958,154608000.0,134706,0
16,001225,和泰机电,10.0014,80.95,106315000.0,1703090048.0,5331919872.0,6.46922,37597600.0,100321,100321,0,3/6,1,通用设备,20260112,001225,和泰机电,1,10.0014,1703090048.0,6.46922,106315000.0,100321,0
17,001255,博菲电气,10.0058,37.71,189776000.0,2679520000.0,3260039936.0,7.52752,51470400.0,133354,133354,0,1/1,1,化学原料,20260112,001255,博菲电气,1,10.0058,2679520000.0,7.52752,189776000.0,133354,0
18,001896,豫能控股,10.0733,6.01,239796992.0,9169949696.0,9169949696.0,2.66143,88387296.0,094151,094151,0,1/1,1,电力行业,20260112,001896,豫能控股,1,10.0733,9169949696.0,2.66143,239796992.0,094151,0
19,002017,东信和平,10.004,27.71,2066700032.0,16074200064.0,16083800064.0,13.1922,147366000.0,103421,103421,0,2/2,2,通信设备,20260112,002017,东信和平,2,10.004,16074200064.0,13.1922,2066700032.0,103421,0
20,002044,美年健康,9.95106,6.74,252292992.0,26112299008.0,26382100480.0,0.966184,636358976.0,092500,092500,0,2/2,2,医疗服务,20260112,002044,美年健康,2,9.95106,26112299008.0,0.966184,252292992.0,092500,0
21,002046,国机精工,10.0022,51.03,2054540032.0,26983999488.0,27365699584.0,7.70524,77801000.0,093527,100857,7,2/2,2,通用设备,20260112,002046,国机精工,2,10.0022,26983999488.0,7.70524,2054540032.0,093527,7
22,002082,万邦德,10.0332,16.56,615105984.0,9161870336.0,10129600512.0,6.79821,3959500.0,104012,145621,1,1/1,1,化学制药,20260112,002082,万邦德,1,10.0332,9161870336.0,6.79821,615105984.0,104012,1
23,002088,鲁阳节能,10.0441,12.49,326479008.0,6317329920.0,6408900096.0,5.24006,46158300.0,093424,102006,1,1/1,1,装修建材,20260112,002088,鲁阳节能,1,10.0441,6317329920.0,5.24006,326479008.0,093424,1
24,002103,广博股份,10.0211,10.43,688430976.0,3932339968.0,5572469760.0,17.979,26158900.0,104142,105651,2,1/1,1,家用轻工,20260112,002103,广博股份,1,10.0211,3932339968.0,17.979,688430976.0,104142,2
25,002115,三维通信,9.98641,16.19,913356032.0,12177999872.0,13129900032.0,7.54918,427536992.0,092500,093103,1,2/2,2,互联网服,20260112,002115,三维通信,2,9.98641,12177999872.0,7.54918,913356032.0,092500,1
26,002131,利欧股份,10.0536,8.21,250579008.0,48026198016.0,55596298240.0,0.521754,2333600000.0,092500,092500,0,4/7,2,互联网服,20260112,002131,利欧股份,2,10.0536,48026198016.0,0.521754,250579008.0,092500,0
27,002151,北斗星通,9.99671,66.9,7626500096.0,29624600576.0,36320698368.0,26.5838,56556600.0,130548,145654,3,5/10,1,通信设备,20260112,002151,北斗星通,1,9.99671,29624600576.0,26.5838,7626500096.0,130548,3
28,002171,楚江新材,9.98594,15.64,3386050048.0,25238900736.0,25382699008.0,13.875,57253000.0,130048,141530,6,1/1,1,有色金属,20260112,002171,楚江新材,1,9.98594,25238900736.0,13.875,3386050048.0,130048,6
29,002181,粤 传 媒,10.0198,11.09,1638230016.0,12581799936.0,12876099584.0,13.4991,30103800.0,112518,112518,0,2/2,2,文化传媒,20260112,002181,粤 传 媒,2,10.0198,12581799936.0,13.4991,1638230016.0,112518,0
30,002195,岩山科技,10.0483,11.39,10341999616.0,63798398976.0,64587599872.0,16.6322,786876032.0,095533,095533,0,5/6,1,互联网服,20260112,002195,岩山科技,1,10.0483,63798398976.0,16.6322,10341999616.0,095533,0
31,002202,金风科技,9.98748,35.13,13189499904.0,118184001536.0,148426997760.0,11.2842,746993024.0,095148,104109,11,7/11,5,风电设备,20260112,002202,金风科技,5,9.98748,118184001536.0,11.2842,13189499904.0,095148,11
32,002316,亚联发展,9.98249,6.28,334206016.0,2139890048.0,2468790016.0,15.721,43077500.0,093015,093236,2,3/3,3,互联网服,20260112,002316,亚联发展,3,9.98249,2139890048.0,15.721,334206016.0,093015,2
33,002342,巨力索具,10.0182,12.08,195910000.0,11532699648.0,11596800000.0,1.69874,364808992.0,092500,092500,0,4/8,3,通用设备,20260112,002342,巨力索具,3,10.0182,11532699648.0,1.69874,195910000.0,092500,0
34,002394,联发股份,10.0275,19.97,508811008.0,6456010240.0,6464289792.0,7.98356,4018960.0,095130,135142,8,1/1,1,纺织服装,20260112,002394,联发股份,1,10.0275,6456010240.0,7.98356,508811008.0,095130,8
35,002400,省广集团,10.0289,11.41,3334990080.0,19695499264.0,19891499008.0,17.2137,237195008.0,093603,094109,3,2/2,2,文化传媒,20260112,002400,省广集团,2,10.0289,19695499264.0,17.2137,3334990080.0,093603,3
36,002413,雷科防务,10.0,20.13,9516630016.0,26029699072.0,26510999552.0,38.2385,197107008.0,132512,133030,2,7/9,1,通信设备,20260112,002413,雷科防务,1,10.0,26029699072.0,38.2385,9516630016.0,132512,2
37,002443,金洲管道,10.0621,8.86,382110016.0,4602120192.0,4611939840.0,8.67275,66557000.0,132112,132112,0,1/1,1,钢铁行业,20260112,002443,金洲管道,1,10.0621,4602120192.0,8.67275,382110016.0,132112,0
38,002446,盛路通信,10.0412,13.37,1952189952.0,11334800384.0,12239099904.0,18.0004,144735008.0,110406,111312,6,1/1,1,通信设备,20260112,002446,盛路通信,1,10.0412,11334800384.0,18.0004,1952189952.0,110406,6
39,002465,海格通信,10.0,22.0,7897990144.0,54513500160.0,54600298496.0,14.9163,471198016.0,104348,104348,0,3/6,1,通信设备,20260112,002465,海格通信,1,10.0,54513500160.0,14.9163,7897990144.0,104348,0
40,002471,中超控股,9.97567,9.04,1953939968.0,12136899584.0,12373600256.0,16.3748,217106000.0,093524,094700,2,1/1,1,电网设备,20260112,002471,中超控股,1,9.97567,12136899584.0,16.3748,1953939968.0,093524,2
41,002512,达华智能,9.95671,7.62,704531968.0,8339720192.0,8477219840.0,8.46395,196708992.0,092500,093400,2,2/2,2,计算机设,20260112,002512,达华智能,2,9.95671,8339720192.0,8.46395,704531968.0,092500,2
42,002519,银河电子,9.97124,11.47,497968000.0,12832499712.0,12920200192.0,3.88649,369744992.0,092500,093033,1,6/6,6,通信设备,20260112,002519,银河电子,6,9.97124,12832499712.0,3.88649,497968000.0,092500,1
43,002523,天桥起重,10.0671,4.92,309984992.0,6944790016.0,6969869824.0,4.54724,77989400.0,093612,093612,0,1/1,1,专用设备,20260112,002523,天桥起重,1,10.0671,6944790016.0,4.54724,309984992.0,093612,0
44,002574,明牌珠宝,10.052,6.35,177039008.0,3352800000.0,3352800000.0,5.40542,63554000.0,094912,094912,0,1/1,1,珠宝首饰,20260112,002574,明牌珠宝,1,10.052,3352800000.0,5.40542,177039008.0,094912,0
45,002600,领益智造,10.024,18.33,9153410048.0,131930996736.0,133919997952.0,7.273,220720992.0,131318,132848,3,1/1,1,消费电子,20260112,002600,领益智造,1,10.024,131930996736.0,7.273,9153410048.0,131318,3
46,002605,姚记科技,9.99204,27.63,1197820032.0,9317959680.0,11540500480.0,13.2352,27129900.0,132700,141657,4,1/1,1,游戏,20260112,002605,姚记科技,1,9.99204,9317959680.0,13.2352,1197820032.0,132700,4
47,002639,雪人集团,10.0122,27.03,6648759808.0,17586200576.0,20883400704.0,40.0789,110776000.0,131654,131903,2,3/4,1,通用设备,20260112,002639,雪人集团,1,10.0122,17586200576.0,40.0789,6648759808.0,131654,2
48,002659,凯文教育,9.95185,6.85,511244000.0,4098200064.0,4098220032.0,12.9091,10690100.0,144118,144500,3,1/1,1,教育,20260112,002659,凯文教育,1,9.95185,4098200064.0,12.9091,511244000.0,144118,3
49,002712,思美传媒,10.0,7.15,287495008.0,3867440128.0,3891569920.0,7.68249,70396096.0,095036,095036,0,1/1,1,文化传媒,20260112,002712,思美传媒,1,10.0,3867440128.0,7.68249,287495008.0,095036,0
50,002718,友邦吊顶,9.99806,56.66,478760992.0,3088300032.0,7334510080.0,16.3436,25371400.0,133203,133203,0,6/8,1,装修建材,20260112,002718,友邦吊顶,1,9.99806,3088300032.0,16.3436,478760992.0,133203,0
51,002769,普路通,10.0352,12.5,286640992.0,4662629888.0,4666480128.0,6.33281,95116200.0,094330,094330,0,1/1,1,物流行业,20260112,002769,普路通,1,10.0352,4662629888.0,6.33281,286640992.0,094330,0
52,002792,通宇通讯,10.0033,66.86,567870976.0,22586900480.0,35023699968.0,2.51415,612844032.0,092500,092500,0,3/4,1,通信设备,20260112,002792,通宇通讯,1,10.0033,22586900480.0,2.51415,567870976.0,092500,0
53,002856,美芝股份,10.0226,14.6,192684000.0,1808999936.0,1975570048.0,10.9271,18124700.0,101248,104403,2,1/1,1,装修装饰,20260112,002856,美芝股份,1,10.0226,1808999936.0,10.9271,192684000.0,101248,2
54,002858,力盛体育,9.99367,17.39,277047008.0,2555950080.0,2850569984.0,11.2963,35124300.0,132012,132012,0,1/1,1,文化传媒,20260112,002858,力盛体育,1,9.99367,2555950080.0,11.2963,277047008.0,132012,0
55,002881,美格智能,10.0,51.37,1271779968.0,9345429504.0,13446400000.0,13.7702,75091696.0,093500,103024,1,1/1,1,消费电子,20260112,002881,美格智能,1,10.0,9345429504.0,13.7702,1271779968.0,093500,1
56,002931,锋龙股份,10.0078,56.17,22317600.0,11304399872.0,12273500160.0,0.197424,1322179968.0,092500,092500,0,12/12,11,通用设备,20260112,002931,锋龙股份,11,10.0078,11304399872.0,0.197424,22317600.0,092500,0
57,002935,天奥电子,10.0216,25.47,549249024.0,10572399616.0,10801899520.0,5.32547,102969000.0,094406,094406,0,1/1,1,通信设备,20260112,002935,天奥电子,1,10.0216,10572399616.0,5.32547,549249024.0,094406,0
58,002969,嘉美包装,10.0199,16.58,71379400.0,16563399680.0,16665100288.0,0.430945,253860992.0,092500,092500,0,13/17,1,包装材料,20260112,002969,嘉美包装,1,10.0199,16563399680.0,0.430945,71379400.0,092500,0
59,003007,直真科技,9.99777,49.4,89134896.0,3551249920.0,5029910016.0,2.50996,199598000.0,092500,092500,0,3/3,3,软件开发,20260112,003007,直真科技,3,9.99777,3551249920.0,2.50996,89134896.0,092500,0
