序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
1,000420,吉林化纤,10.087719917297363,5.02,446896256,12339316337.859999,12343519046.72,3.6217262744903564,277668750,092500,092500,0,1/1,1,化学纤维,000420,吉林化纤,1,10.087719917297363,12339316337.859999,3.6217262744903564,446896256,092500,0,20260312
2,002254,泰和新材,10.039840698242188,13.81,445925968,11746341773.73,11835959711.04,3.7989649772644043,118045366,092500,101009,1,1/1,1,化学纤维,002254,泰和新材,1,10.039840698242188,11746341773.73,3.7989649772644043,445925968,092500,1,20260312
3,002445,中南文化,9.97304630279541,4.08,39417982,9654834369.84,9696558746.880001,0.4082719683647156,842964156,092500,092500,0,4/4,4,通用设备,002445,中南文化,4,9.97304630279541,9654834369.84,0.4082719683647156,39417982,092500,0,20260312
4,002455,百川股份,9.979633331298828,16.2,209424301,8411521042.799999,9626986339.199999,2.489731550216675,319009590,092500,092500,0,2/2,2,化学制品,002455,百川股份,2,9.979633331298828,8411521042.799999,2.489731550216675,209424301,092500,0,20260312
5,600370,三房巷,10.222222328186035,2.48,248456240,9663768178.16,9663768185.6,2.571086883544922,116924064,092502,093444,1,1/1,1,化学纤维,600370,三房巷,1,10.222222328186035,9663768178.16,2.571086883544922,248456240,092502,1,20260312
6,688295,中复神鹰,20.005550384521484,43.25,1281222336,38925000000.0,38925000000.0,3.302816390991211,65724170,092503,094039,2,1/1,1,化学纤维,688295,中复神鹰,1,20.005550384521484,38925000000.0,3.302816390991211,1281222336,092503,2,20260312
7,600691,潞化科技,10.10929012298584,4.03,355312368,9573611386.560001,9575207266.560001,3.7265400886535645,161904770,093031,093125,1,1/1,1,农化制品,600691,潞化科技,1,10.10929012298584,9573611386.560001,3.7265400886535645,355312368,093031,1,20260312
8,002150,正泰电源,10.006738662719727,32.65,724655040,11706493531.699999,11782366320.0,6.280404090881348,192962806,093124,093724,1,2/2,2,通用设备,002150,正泰电源,2,10.006738662719727,11706493531.699999,6.280404090881348,724655040,093124,1,20260312
9,000537,绿发电力,10.026385307312012,12.51,881169920,25853195423.52,25853195423.52,3.460505485534668,500814994,093157,093157,0,3/3,3,电力,000537,绿发电力,3,10.026385307312012,25853195423.52,3.460505485534668,881169920,093157,0,20260312
10,600527,江南高纤,9.95850658416748,2.65,314683472,4589166390.3,4589166374.4,6.9112868309021,95169503,093209,093227,1,1/1,1,纺织制造,600527,江南高纤,1,9.95850658416748,4589166390.3,6.9112868309021,314683472,093209,1,20260312
11,601330,绿色动力,10.035842895507812,9.21,846474512,9109561910.7,13175682913.44,9.44955825805664,1398078,093335,112902,7,2/2,2,环境治理,601330,绿色动力,2,10.035842895507812,9109561910.7,9.44955825805664,846474512,093335,7,20260312
12,603626,科森科技,10.022573471069336,24.37,660698288,13522418045.300001,13522418191.52,4.953550338745117,253101946,093407,093631,1,1/1,1,消费电子,603626,科森科技,1,10.022573471069336,13522418045.300001,4.953550338745117,660698288,093407,1,20260312
13,603978,深圳新星,9.992006301879883,27.52,279512608,5809315108.48,5809315108.48,4.8697829246521,302240216,093440,093440,0,1/1,1,金属新材,603978,深圳新星,1,9.992006301879883,5809315108.48,4.8697829246521,279512608,093440,0,20260312
14,600726,华电能源,9.915014266967773,3.88,660427152,29004304487.04,30680464424.96,2.329730272293091,159303806,093507,093507,0,3/3,3,电力,600726,华电能源,3,9.915014266967773,29004304487.04,2.329730272293091,660427152,093507,0,20260312
15,601991,大唐发电,10.096153259277344,4.58,658413200,56774088105.48,84760734218.24,1.189943552017212,784441648,093533,093533,0,1/1,1,电力,601991,大唐发电,1,10.096153259277344,56774088105.48,1.189943552017212,658413200,093533,0,20260312
16,002951,金时科技,10.019145011901855,17.24,181017352,6915385086.999999,6982199999.999999,2.685953140258789,249400736,093748,093748,0,1/1,1,其他电源,002951,金时科技,1,10.019145011901855,6915385086.999999,2.685953140258789,181017352,093748,0,20260312
17,601016,节能风电,9.925558090209961,4.43,2957801152,26288286143.53,28530886376.96,11.40246868133545,117056459,093829,095747,4,2/2,2,电力,601016,节能风电,2,9.925558090209961,26288286143.53,11.40246868133545,2957801152,093829,4,20260312
18,002102,能特科技,10.0,3.85,820438864,8365603338.400001,9531163118.4,9.937174797058105,208066693,094024,101951,1,1/1,1,化学制药,002102,能特科技,1,10.0,8365603338.400001,9.937174797058105,820438864,094024,1,20260312
19,600063,皖维高新,10.0,8.03,1172784704,16614924785.47,16614924777.439999,7.176550388336182,97428793,094115,094636,4,1/1,1,化学纤维,600063,皖维高新,1,10.0,16614924785.47,7.176550388336182,1172784704,094115,4,20260312
20,600868,梅雁吉祥,9.898476600646973,4.33,763369040,8218983780.07,8218983749.76,9.575718879699707,415817356,094149,094149,0,1/1,1,电力,600868,梅雁吉祥,1,9.898476600646973,8218983780.07,9.575718879699707,763369040,094149,0,20260312
21,000890,法尔胜,10.043667793273926,10.08,803103936,4228469743.68,4228599997.44,19.49722671508789,72624384,094236,104645,3,14/7,1,环保设备,000890,法尔胜,1,10.043667793273926,4228469743.68,19.49722671508789,803103936,094236,3,20260312
22,000990,诚志股份,10.011248588562012,9.78,794748064,11885014290.3,11885023102.08,6.760932445526123,342013064,094242,111739,1,1/1,1,化学原料,000990,诚志股份,1,10.011248588562012,11885014290.3,6.760932445526123,794748064,094242,1,20260312
23,001260,坤泰股份,10.0,24.53,79682395,2820950000.0,2820950000.0,2.863217353820801,182316772,094742,094742,0,1/1,1,汽车零部,001260,坤泰股份,1,10.0,2820950000.0,2.863217353820801,79682395,094742,0,20260312
24,603077,和邦生物,9.90099048614502,3.33,1952834816,29409018969.24,29409018716.16,6.8433074951171875,257290365,095308,095938,2,1/1,1,农化制品,603077,和邦生物,1,9.90099048614502,29409018969.24,6.8433074951171875,1952834816,095308,2,20260312
25,601969,海南矿业,10.0,13.42,1123801008,26470636186.72,26816491595.52,4.358441352844238,345583935,095627,100543,1,4/2,1,冶钢原料,601969,海南矿业,1,10.0,26470636186.72,4.358441352844238,1123801008,095627,1,20260312
26,600888,新疆众和,9.967496871948242,10.15,1369162864,15124746044.45,15124746095.2,9.236352920532227,261337165,095658,104307,2,1/1,1,工业金属,600888,新疆众和,1,9.967496871948242,15124746044.45,9.236352920532227,1369162864,095658,2,20260312
27,002498,汉缆股份,9.957627296447754,10.38,2693519600,34532142480.0,34532142480.0,8.109935760498047,633858976,095727,095727,0,15/8,1,电网设备,002498,汉缆股份,1,9.957627296447754,34532142480.0,8.109935760498047,2693519600,095727,0,20260312
28,600935,华塑股份,9.966776847839355,3.31,296232624,11609499997.72,11898582991.84,2.630476474761963,73641873,100225,100225,0,1/1,1,化学原料,600935,华塑股份,1,9.966776847839355,11609499997.72,2.630476474761963,296232624,100225,0,20260312
29,600844,金煤科技,10.055866241455078,3.94,544875104,3241558697.96,4005105505.6,17.25893783569336,88653159,100908,103414,2,1/1,1,化学原料,600844,金煤科技,1,10.055866241455078,3241558697.96,17.25893783569336,544875104,100908,2,20260312
30,003041,真爱美家,10.005175590515137,63.77,511595456,8725228218.0,9182880000.0,6.085172653198242,170276166,101100,101100,0,1/1,1,服装家纺,003041,真爱美家,1,10.005175590515137,8725228218.0,6.085172653198242,511595456,101100,0,20260312
31,301667,纳百川,20.0,79.98,733286272,1799106830.8200002,8931334608.0,43.11830139160156,198758218,101512,101730,2,1/1,1,汽车零部,301667,纳百川,1,20.0,1799106830.8200002,43.11830139160156,733286272,101512,2,20260312
32,000553,安道麦A,10.032362937927246,6.8,196582992,14804089334.8,15842719968.0,1.3725459575653076,251170240,101706,101706,0,1/1,1,农化制品,000553,安道麦A,1,10.032362937927246,14804089334.8,1.3725459575653076,196582992,101706,0,20260312
33,000593,德龙汇能,9.978918075561523,15.65,418729440,5610261594.85,5612575275.2,7.678243637084961,333166621,101918,101918,0,1/1,1,燃气Ⅱ,000593,德龙汇能,1,9.978918075561523,5610261594.85,7.678243637084961,418729440,101918,0,20260312
34,600188,兖矿能源,10.024813652038574,22.17,2205433200,131333108732.28001,222530941532.16,1.7346057891845703,464491717,102658,103046,1,1/1,1,煤炭开采,600188,兖矿能源,1,10.024813652038574,131333108732.28001,1.7346057891845703,2205433200,102658,1,20260312
